distinct_values,count,column_name
100,11255,LatestPolicyType_01
101,39594,LatestPolicyType_01
102,2617,LatestPolicyType_01
103,12351,LatestPolicyType_01
104,18284,LatestPolicyType_01
105,62798,LatestPolicyType_01
106,8336,LatestPolicyType_01
107,42538,LatestPolicyType_01
108,3937,LatestPolicyType_01
109,87,LatestPolicyType_01
110,24422,LatestPolicyType_01
111,24734,LatestPolicyType_01
112,23340,LatestPolicyType_01
113,27675,LatestPolicyType_01
114,2613,LatestPolicyType_01
115,56302,LatestPolicyType_01
116,2487,LatestPolicyType_01
117,32062,LatestPolicyType_01
118,1188,LatestPolicyType_01
120,2,LatestPolicyType_01
122,3,LatestPolicyType_01
123,3,LatestPolicyType_01
126,2626,LatestPolicyType_01
127,55,LatestPolicyType_01
128,515,LatestPolicyType_01
129,2,LatestPolicyType_01
130,39972,LatestPolicyType_01
131,8268,LatestPolicyType_01
132,20228,LatestPolicyType_01
133,3843,LatestPolicyType_01
134,5908,LatestPolicyType_01
135,268,LatestPolicyType_01
140,1024,LatestPolicyType_01
141,20,LatestPolicyType_01
142,8,LatestPolicyType_01
150,4936,LatestPolicyType_01
151,55440,LatestPolicyType_01
160,40,LatestPolicyType_01
161,3827,LatestPolicyType_01
162,34,LatestPolicyType_01
163,6439,LatestPolicyType_01
164,54,LatestPolicyType_01
165,879,LatestPolicyType_01
170,922,LatestPolicyType_01
171,579,LatestPolicyType_01
173,1638,LatestPolicyType_01
174,1585,LatestPolicyType_01
180,552,LatestPolicyType_01
181,218,LatestPolicyType_01
182,780,LatestPolicyType_01
183,786,LatestPolicyType_01
190,13,LatestPolicyType_01
191,46,LatestPolicyType_01
192,713,LatestPolicyType_01
1AB,1747,LatestPolicyType_01
1AT,13,LatestPolicyType_01
1B0,428,LatestPolicyType_01
1B1,31,LatestPolicyType_01
1B2,1954,LatestPolicyType_01
1B3,40,LatestPolicyType_01
1B4,9766,LatestPolicyType_01
1B5,1460,LatestPolicyType_01
1B6,104,LatestPolicyType_01
1B7,3,LatestPolicyType_01
1B8,731,LatestPolicyType_01
1B9,15,LatestPolicyType_01
1BL,94816,LatestPolicyType_01
1BM,2209,LatestPolicyType_01
1BN,925,LatestPolicyType_01
1BP,22,LatestPolicyType_01
1BQ,1581,LatestPolicyType_01
1BR,54,LatestPolicyType_01
1BS,1018,LatestPolicyType_01
1BT,12414,LatestPolicyType_01
1BU,422,LatestPolicyType_01
1BW,33659,LatestPolicyType_01
1BX,1952,LatestPolicyType_01
1BY,248,LatestPolicyType_01
1BZ,30,LatestPolicyType_01
1C0,15,LatestPolicyType_01
1C1,1,LatestPolicyType_01
1C2,29,LatestPolicyType_01
1C4,96,LatestPolicyType_01
1C5,5,LatestPolicyType_01
1C6,1,LatestPolicyType_01
1C8,5231,LatestPolicyType_01
1CA,6596,LatestPolicyType_01
1CB,515,LatestPolicyType_01
1CC,25,LatestPolicyType_01
1CE,635,LatestPolicyType_01
1CF,17,LatestPolicyType_01
1CG,145,LatestPolicyType_01
1CJ,94,LatestPolicyType_01
1CK,2,LatestPolicyType_01
1CL,285,LatestPolicyType_01
1CM,406,LatestPolicyType_01
1CN,214,LatestPolicyType_01
1CQ,151,LatestPolicyType_01
1CR,14,LatestPolicyType_01
1CS,6,LatestPolicyType_01
1CU,5,LatestPolicyType_01
1CW,28,LatestPolicyType_01
1CX,3,LatestPolicyType_01
1CY,171,LatestPolicyType_01
1CZ,9,LatestPolicyType_01
1D2,61205,LatestPolicyType_01
1D3,3382,LatestPolicyType_01
1D4,246,LatestPolicyType_01
1D5,28,LatestPolicyType_01
1D6,20,LatestPolicyType_01
1D7,2,LatestPolicyType_01
1DA,43,LatestPolicyType_01
1DC,78418,LatestPolicyType_01
1DD,2109,LatestPolicyType_01
