distinct_values,count,column_name
-,2,RevivalNumberKB
0,62,RevivalNumberKB
1,171897,RevivalNumberKB
2,40438,RevivalNumberKB
3,14366,RevivalNumberKB
4,5869,RevivalNumberKB
5,2757,RevivalNumberKB
6,1454,RevivalNumberKB
7,754,RevivalNumberKB
8,421,RevivalNumberKB
9,637,RevivalNumberKB
,6123393,RevivalNumberKB
E21,4457,Revival Reason
E22,232215,Revival Reason
E29,16610,Revival Reason
,6108768,Revival Reason
20001,1895,Extra Premium ChargeCD
20002,2920,Extra Premium ChargeCD
20003,6265,Extra Premium ChargeCD
20004,386,Extra Premium ChargeCD
20005,975,Extra Premium ChargeCD
2   1,1,Extra Premium ChargeCD
51301,20,Extra Premium ChargeCD
51302,205,Extra Premium ChargeCD
51303,154,Extra Premium ChargeCD
51304,29,Extra Premium ChargeCD
51305,20,Extra Premium ChargeCD
51501,16,Extra Premium ChargeCD
51502,174,Extra Premium ChargeCD
51503,527,Extra Premium ChargeCD
51504,37,Extra Premium ChargeCD
51505,43,Extra Premium ChargeCD
51751,4,Extra Premium ChargeCD
51752,103,Extra Premium ChargeCD
51753,172,Extra Premium ChargeCD
51754,16,Extra Premium ChargeCD
51755,23,Extra Premium ChargeCD
52001,2,Extra Premium ChargeCD
52002,60,Extra Premium ChargeCD
52003,413,Extra Premium ChargeCD
52004,32,Extra Premium ChargeCD
52005,36,Extra Premium ChargeCD
52252,14,Extra Premium ChargeCD
52253,73,Extra Premium ChargeCD
52254,4,Extra Premium ChargeCD
52255,1,Extra Premium ChargeCD
52501,1,Extra Premium ChargeCD
52502,16,Extra Premium ChargeCD
52503,211,Extra Premium ChargeCD
52504,19,Extra Premium ChargeCD
52505,16,Extra Premium ChargeCD
52752,2,Extra Premium ChargeCD
52753,44,Extra Premium ChargeCD
52754,6,Extra Premium ChargeCD
52755,2,Extra Premium ChargeCD
53002,3,Extra Premium ChargeCD
53003,67,Extra Premium ChargeCD
53004,16,Extra Premium ChargeCD
53005,31,Extra Premium ChargeCD
53253,13,Extra Premium ChargeCD
53255,4,Extra Premium ChargeCD
53502,1,Extra Premium ChargeCD
53503,33,Extra Premium ChargeCD
53504,3,Extra Premium ChargeCD
53505,7,Extra Premium ChargeCD
53752,1,Extra Premium ChargeCD
53753,8,Extra Premium ChargeCD
53754,1,Extra Premium ChargeCD
53755,1,Extra Premium ChargeCD
54003,12,Extra Premium ChargeCD
54004,2,Extra Premium ChargeCD
54005,4,Extra Premium ChargeCD
54253,3,Extra Premium ChargeCD
54255,1,Extra Premium ChargeCD
54503,10,Extra Premium ChargeCD
54504,1,Extra Premium ChargeCD
54505,1,Extra Premium ChargeCD
54753,1,Extra Premium ChargeCD
54754,1,Extra Premium ChargeCD
55003,3,Extra Premium ChargeCD
55004,2,Extra Premium ChargeCD
55505,1,Extra Premium ChargeCD
61300,6356,Extra Premium ChargeCD
61500,8672,Extra Premium ChargeCD
61750,4112,Extra Premium ChargeCD
62000,1977,Extra Premium ChargeCD
62250,417,Extra Premium ChargeCD
62500,783,Extra Premium ChargeCD
62750,125,Extra Premium ChargeCD
63000,320,Extra Premium ChargeCD
63250,44,Extra Premium ChargeCD
63500,85,Extra Premium ChargeCD
63750,24,Extra Premium ChargeCD
64000,29,Extra Premium ChargeCD
64250,9,Extra Premium ChargeCD
64500,7,Extra Premium ChargeCD
64750,6,Extra Premium ChargeCD
65000,6,Extra Premium ChargeCD
65500,1,Extra Premium ChargeCD
66000,1,Extra Premium ChargeCD
70000,1,Extra Premium ChargeCD
,6323907,Extra Premium ChargeCD
G11,41390,Termination  Reason
G12,71,Termination  Reason
G14,161383,Termination  Reason
G21,1884917,Termination  Reason
G22,334366,Termination  Reason
G23,30085,Termination  Reason
G24,98247,Termination  Reason
G25,669,Termination  Reason
G26,6526,Termination  Reason
G27,163744,Termination  Reason
G28,1921,Termination  Reason
G31,49755,Termination  Reason
G32,60,Termination  Reason
G33,13,Termination  Reason
G34,5608,Termination  Reason
G36,206,Termination  Reason
G37,669,Termination  Reason
G39,361,Termination  Reason
G41,1018,Termination  Reason
G42,2,Termination  Reason
G43,1,Termination  Reason
G51,170567,Termination  Reason
G52,13,Termination  Reason
G53,19325,Termination  Reason
G54,8371,Termination  Reason
G61,307,Termination  Reason
G62,166,Termination  Reason
G63,3477,Termination  Reason
G64,5793,Termination  Reason
G65,8010,Termination  Reason
G71,5431,Termination  Reason
G72,1867,Termination  Reason
G76,69,Termination  Reason
G77,2,Termination  Reason
G81,1967,Termination  Reason
G82,3478,Termination  Reason
G83,4,Termination  Reason
G84,39,Termination  Reason
G85,408,Termination  Reason
G86,632,Termination  Reason
G87,3384,Termination  Reason
G91,751,Termination  Reason
G92,22,Termination  Reason
GA1,78,Termination  Reason
GA2,13,Termination  Reason
GA3,7,Termination  Reason
GA4,2,Termination  Reason
,3346855,Termination  Reason
F11,71471,Latest Payment Completion Reason
F12,418,Latest Payment Completion Reason
F21,140,Latest Payment Completion Reason
F22,1468,Latest Payment Completion Reason
F51,51283,Latest Payment Completion Reason
F52,101847,Latest Payment Completion Reason
F53,13042,Latest Payment Completion Reason
,6122381,Latest Payment Completion Reason
E11,142,Recovery Reason
E12,3284,Recovery Reason
H21,434,Recovery Reason
H22,33,Recovery Reason
H23,8,Recovery Reason
H25,8,Recovery Reason
H63,1,Recovery Reason
H64,26,Recovery Reason
H65,13,Recovery Reason
,6358101,Recovery Reason
D31,66361,Reduce Settlement Reason
D32,3,Reduce Settlement Reason
D33,67,Reduce Settlement Reason
D34,1,Reduce Settlement Reason
D3A,33548,Reduce Settlement Reason
D3B,316,Reduce Settlement Reason
D3E,5804,Reduce Settlement Reason
