Policy Type Name,a_group,Policyholder'S_Gender,count
Annuity(Annuity Certain ),18-22,1,417
Annuity(Annuity Certain ),18-22,2,379
Annuity(Annuity Certain ),23-30,1,1974
Annuity(Annuity Certain ),23-30,2,1500
Annuity(Annuity Certain ),31-40,1,2157
Annuity(Annuity Certain ),31-40,2,1572
Annuity(Annuity Certain ),41-50,1,1670
Annuity(Annuity Certain ),41-50,2,1483
Annuity(Annuity Certain ),51-60,1,854
Annuity(Annuity Certain ),51-60,2,893
Annuity(Annuity Certain ),61-64,1,86
Annuity(Annuity Certain ),61-64,2,83
Annuity(Annuity Certain ),greater than 64,1,67
Annuity(Annuity Certain ),greater than 64,2,76
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,15
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,10
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,65
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,43
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,49
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,32
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,39
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,29
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,15
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,22
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,4
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,2
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,4
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,3
Cancer,18-22,0,4
Cancer,18-22,1,14200
Cancer,18-22,2,8697
Cancer,23-30,1,71169
Cancer,23-30,2,32018
Cancer,31-40,1,75934
Cancer,31-40,2,32427
Cancer,41-50,0,5
Cancer,41-50,1,73083
Cancer,41-50,2,31912
Cancer,51-60,0,2
Cancer,51-60,1,45942
Cancer,51-60,2,21853
Cancer,61-64,1,5477
Cancer,61-64,2,3612
Cancer,greater than 64,1,4620
Cancer,greater than 64,2,3789
Dread Disease T.L.,18-22,1,95
Dread Disease T.L.,18-22,2,75
Dread Disease T.L.,23-30,1,817
Dread Disease T.L.,23-30,2,420
Dread Disease T.L.,31-40,1,1636
Dread Disease T.L.,31-40,2,717
Dread Disease T.L.,41-50,1,1236
Dread Disease T.L.,41-50,2,658
Dread Disease T.L.,51-60,1,589
Dread Disease T.L.,51-60,2,424
Dread Disease T.L.,61-64,1,76
Dread Disease T.L.,61-64,2,64
Dread Disease T.L.,greater than 64,1,38
Dread Disease T.L.,greater than 64,2,35
Dread Disease W.L.,18-22,1,1314
Dread Disease W.L.,18-22,2,889
Dread Disease W.L.,23-30,1,5581
Dread Disease W.L.,23-30,2,3204
Dread Disease W.L.,31-40,1,5704
Dread Disease W.L.,31-40,2,3001
Dread Disease W.L.,41-50,1,3263
Dread Disease W.L.,41-50,2,2135
Dread Disease W.L.,51-60,1,1989
Dread Disease W.L.,51-60,2,1492
Dread Disease W.L.,61-64,1,225
Dread Disease W.L.,61-64,2,211
Dread Disease W.L.,greater than 64,1,130
Dread Disease W.L.,greater than 64,2,146
Endowment,18-22,1,458
Endowment,18-22,2,552
Endowment,23-30,1,1405
Endowment,23-30,2,1422
Endowment,31-40,1,2388
Endowment,31-40,2,1839
Endowment,41-50,1,3153
Endowment,41-50,2,1744
Endowment,51-60,1,2205
Endowment,51-60,2,1210
Endowment,61-64,1,572
Endowment,61-64,2,343
Endowment,greater than 64,1,578
Endowment,greater than 64,2,466
Female Disease,18-22,1,41
Female Disease,18-22,2,4575
Female Disease,23-30,1,1149
Female Disease,23-30,2,18073
Female Disease,31-40,1,1800
Female Disease,31-40,2,11362
Female Disease,41-50,1,1994
Female Disease,41-50,2,6619
Female Disease,51-60,1,1096
Female Disease,51-60,2,3020
Female Disease,61-64,1,86
Female Disease,61-64,2,527
Female Disease,greater than 64,1,66
Female Disease,greater than 64,2,158
Inc. Dec. Term Life,18-22,1,3
Inc. Dec. Term Life,23-30,1,18
Inc. Dec. Term Life,23-30,2,8
Inc. Dec. Term Life,31-40,1,50
Inc. Dec. Term Life,31-40,2,11
Inc. Dec. Term Life,41-50,1,93
Inc. Dec. Term Life,41-50,2,20
Inc. Dec. Term Life,51-60,1,152
Inc. Dec. Term Life,51-60,2,26
Inc. Dec. Term Life,61-64,1,51
Inc. Dec. Term Life,61-64,2,10
Inc. Dec. Term Life,greater than 64,1,50
Inc. Dec. Term Life,greater than 64,2,2
Injury,23-30,1,10
Injury,23-30,2,1
Injury,31-40,1,182
Injury,31-40,2,11
Injury,41-50,1,222
Injury,41-50,2,28
