perfecture_name,count,percentage
Aichi,111603,1.49139504229
Akita,26807,2.62012532267
Aomori,33622,2.56996862257
Chiba,89029,1.43072117321
Ehime,33954,2.45108867492
Fukui,20005,2.54277143656
Fukuoka,113886,2.23237772946
Fukushima,32376,1.69150158382
Gifu,38873,1.91313266431
Gunma,34458,1.74637565474
Hiroshima,60077,2.11241952328
Hokkaido,102234,1.89964831031
Hyōgo,83512,1.50885307509
Ibaraki,56315,1.93059524658
Ishikawa,31588,2.73724272275
Kagawa,25616,2.62388311346
Kagoshima,45350,2.75152486656
Kanagawa,147662,1.61799843834
Kochi,17005,2.33496641383
Kumamoto,45184,2.52965843117
Kyoto,36561,1.40061516584
Mie,26478,1.45814804515
Miyagi,41426,1.77496969663
Miyazaki,32672,2.95923533765
Nagano,51128,2.43605405745
Naoasaki,23845,1.7314279034
Nara,19990,1.46520307612
Niigata,44339,1.92421528089
Oita,23031,1.97464199915
Okayama,39908,2.07689205189
Okinawa,15251,1.06385056565
Osaka,162397,1.83718049127
Saga,13506,1.62169561208
Saitama,109314,1.50434856563
Shiga,17087,1.20934294749
Shimane,6608,0.951678687467
Shizuoka,69644,1.88211512294
Tochigi,31588,1.59999594784
Tokushima,17177,2.27289267506
Tokyo,298271,2.20691838144
Tottori,11804,2.05845065142
Toyama,24804,2.32611354105
Wakayama,16982,1.76238793083
Yamagata,20874,1.85729754932
Yamaguchi,36991,2.63331930928
Yamanashi,13972,1.67343370103
,6,0.0
