Policy Type Name,a_group,Policyholder'S_Gender,perfecture_name,address Count
Annuity(Annuity Certain ),18-22,1,Aichi,14
Annuity(Annuity Certain ),18-22,1,Akita,1
Annuity(Annuity Certain ),18-22,1,Aomori,4
Annuity(Annuity Certain ),18-22,1,Chiba,9
Annuity(Annuity Certain ),18-22,1,Ehime,2
Annuity(Annuity Certain ),18-22,1,Fukui,10
Annuity(Annuity Certain ),18-22,1,Fukuoka,13
Annuity(Annuity Certain ),18-22,1,Fukushima,7
Annuity(Annuity Certain ),18-22,1,Gifu,7
Annuity(Annuity Certain ),18-22,1,Gunma,5
Annuity(Annuity Certain ),18-22,1,Hiroshima,11
Annuity(Annuity Certain ),18-22,1,Hokkaido,14
Annuity(Annuity Certain ),18-22,1,Hyōgo,9
Annuity(Annuity Certain ),18-22,1,Ibaraki,20
Annuity(Annuity Certain ),18-22,1,Ishikawa,9
Annuity(Annuity Certain ),18-22,1,Kagawa,7
Annuity(Annuity Certain ),18-22,1,Kagoshima,10
Annuity(Annuity Certain ),18-22,1,Kanagawa,12
Annuity(Annuity Certain ),18-22,1,Kochi,11
Annuity(Annuity Certain ),18-22,1,Kumamoto,5
Annuity(Annuity Certain ),18-22,1,Kyoto,1
Annuity(Annuity Certain ),18-22,1,Mie,5
Annuity(Annuity Certain ),18-22,1,Miyagi,8
Annuity(Annuity Certain ),18-22,1,Miyazaki,1
Annuity(Annuity Certain ),18-22,1,Nagano,10
Annuity(Annuity Certain ),18-22,1,Naoasaki,3
Annuity(Annuity Certain ),18-22,1,Nara,1
Annuity(Annuity Certain ),18-22,1,Niigata,12
Annuity(Annuity Certain ),18-22,1,Oita,1
Annuity(Annuity Certain ),18-22,1,Okayama,6
Annuity(Annuity Certain ),18-22,1,Osaka,18
Annuity(Annuity Certain ),18-22,1,Saga,3
Annuity(Annuity Certain ),18-22,1,Saitama,13
Annuity(Annuity Certain ),18-22,1,Shiga,1
Annuity(Annuity Certain ),18-22,1,Shimane,4
Annuity(Annuity Certain ),18-22,1,Shizuoka,10
Annuity(Annuity Certain ),18-22,1,Tochigi,3
Annuity(Annuity Certain ),18-22,1,Tokushima,4
Annuity(Annuity Certain ),18-22,1,Tokyo,34
Annuity(Annuity Certain ),18-22,1,Tottori,2
Annuity(Annuity Certain ),18-22,1,Toyama,37
Annuity(Annuity Certain ),18-22,1,Wakayama,1
Annuity(Annuity Certain ),18-22,1,Yamagata,9
Annuity(Annuity Certain ),18-22,1,Yamaguchi,6
Annuity(Annuity Certain ),18-22,1,Yamanashi,1
Annuity(Annuity Certain ),18-22,2,Aichi,14
Annuity(Annuity Certain ),18-22,2,Akita,1
Annuity(Annuity Certain ),18-22,2,Aomori,3
Annuity(Annuity Certain ),18-22,2,Chiba,9
Annuity(Annuity Certain ),18-22,2,Ehime,1
Annuity(Annuity Certain ),18-22,2,Fukui,12
Annuity(Annuity Certain ),18-22,2,Fukuoka,17
Annuity(Annuity Certain ),18-22,2,Fukushima,14
Annuity(Annuity Certain ),18-22,2,Gifu,1
Annuity(Annuity Certain ),18-22,2,Gunma,2
Annuity(Annuity Certain ),18-22,2,Hiroshima,8
Annuity(Annuity Certain ),18-22,2,Hokkaido,18
Annuity(Annuity Certain ),18-22,2,Hyōgo,8
Annuity(Annuity Certain ),18-22,2,Ibaraki,12
Annuity(Annuity Certain ),18-22,2,Ishikawa,16
Annuity(Annuity Certain ),18-22,2,Kagawa,5
Annuity(Annuity Certain ),18-22,2,Kagoshima,5
Annuity(Annuity Certain ),18-22,2,Kanagawa,10
Annuity(Annuity Certain ),18-22,2,Kochi,3
Annuity(Annuity Certain ),18-22,2,Kumamoto,6
Annuity(Annuity Certain ),18-22,2,Kyoto,6
Annuity(Annuity Certain ),18-22,2,Mie,7
Annuity(Annuity Certain ),18-22,2,Miyagi,10
Annuity(Annuity Certain ),18-22,2,Miyazaki,2
Annuity(Annuity Certain ),18-22,2,Nagano,5
Annuity(Annuity Certain ),18-22,2,Naoasaki,2
Annuity(Annuity Certain ),18-22,2,Nara,1
Annuity(Annuity Certain ),18-22,2,Niigata,9
Annuity(Annuity Certain ),18-22,2,Oita,2
Annuity(Annuity Certain ),18-22,2,Okayama,6
Annuity(Annuity Certain ),18-22,2,Okinawa,2
Annuity(Annuity Certain ),18-22,2,Osaka,7
Annuity(Annuity Certain ),18-22,2,Saga,6
Annuity(Annuity Certain ),18-22,2,Saitama,13
Annuity(Annuity Certain ),18-22,2,Shiga,4
Annuity(Annuity Certain ),18-22,2,Shimane,5
Annuity(Annuity Certain ),18-22,2,Shizuoka,10
Annuity(Annuity Certain ),18-22,2,Tochigi,4
Annuity(Annuity Certain ),18-22,2,Tokushima,1
Annuity(Annuity Certain ),18-22,2,Tokyo,24
Annuity(Annuity Certain ),18-22,2,Tottori,1
Annuity(Annuity Certain ),18-22,2,Toyama,35
Annuity(Annuity Certain ),18-22,2,Wakayama,4
Annuity(Annuity Certain ),18-22,2,Yamagata,8
Annuity(Annuity Certain ),18-22,2,Yamaguchi,3
Annuity(Annuity Certain ),23-30,1,Aichi,86
Annuity(Annuity Certain ),23-30,1,Akita,13
Annuity(Annuity Certain ),23-30,1,Aomori,17
Annuity(Annuity Certain ),23-30,1,Chiba,46
