Policy Type Name,a_group,Policyholder'S_Gender,count
Cancer,31-40,2,1
Dread Disease T.L.,23-30,1,4
Dread Disease T.L.,23-30,2,2
Dread Disease T.L.,31-40,1,4
Dread Disease T.L.,31-40,2,2
Dread Disease T.L.,41-50,1,2
Dread Disease T.L.,51-60,1,2
Dread Disease W.L.,23-30,1,5
Dread Disease W.L.,23-30,2,3
Dread Disease W.L.,31-40,1,6
Dread Disease W.L.,31-40,2,1
Dread Disease W.L.,41-50,1,5
Dread Disease W.L.,61-64,2,1
Endowment,18-22,1,2
Endowment,18-22,2,2
Endowment,23-30,1,3
Endowment,23-30,2,4
Endowment,31-40,1,5
Endowment,31-40,2,5
Endowment,41-50,1,9
Endowment,41-50,2,4
Endowment,51-60,1,14
Endowment,61-64,1,6
Endowment,61-64,2,5
Endowment,greater than 64,1,10
Endowment,greater than 64,2,8
Inc. Dec. Term Life,31-40,1,2
Inc. Dec. Term Life,41-50,1,5
Inc. Dec. Term Life,41-50,2,1
Inc. Dec. Term Life,51-60,1,2
Inc. Dec. Term Life,51-60,2,1
Inc. Dec. Term Life,61-64,1,3
Inc. Dec. Term Life,greater than 64,1,2
J.M.I.P,41-50,1,1
J.M.I.P,51-60,1,2
Joint life(Flexible),23-30,1,3
Joint life(Flexible),23-30,2,1
Joint life(Flexible),31-40,1,2
Joint life(Flexible),31-40,2,1
Joint life(Flexible),41-50,1,1
Joint life(Flexible),41-50,2,1
Joint life(Flexible),51-60,1,1
Joint life(Flexible),51-60,2,3
Joint life(Flexible),61-64,1,2
Joint life(Flexible),61-64,2,1
Joint life(Flexible),greater than 64,1,4
Joint life(Flexible),greater than 64,2,2
M.I.P,18-22,1,8
M.I.P,18-22,2,3
M.I.P,23-30,1,176
M.I.P,23-30,2,41
M.I.P,31-40,1,452
M.I.P,31-40,2,78
M.I.P,41-50,1,352
M.I.P,41-50,2,56
M.I.P,51-60,1,136
M.I.P,51-60,2,18
M.I.P,61-64,1,18
M.I.P,61-64,2,4
M.I.P,greater than 64,1,8
M.I.P,greater than 64,2,2
Term life,18-22,1,4
Term life,23-30,1,83
Term life,23-30,2,8
Term life,31-40,1,205
Term life,31-40,2,35
Term life,41-50,1,234
Term life,41-50,2,52
Term life,51-60,1,177
Term life,51-60,2,42
Term life,61-64,1,49
Term life,61-64,2,22
Term life,greater than 64,1,62
Term life,greater than 64,2,37
VL Endowment,23-30,1,1
VL Endowment,61-64,1,2
VL Endowment,61-64,2,1
VL Whole life,18-22,1,2
VL Whole life,23-30,1,8
VL Whole life,23-30,2,4
VL Whole life,31-40,1,20
VL Whole life,31-40,2,8
VL Whole life,41-50,1,20
VL Whole life,41-50,2,9
VL Whole life,51-60,1,9
VL Whole life,51-60,2,6
VL Whole life,61-64,1,3
VL Whole life,61-64,2,1
VL Whole life,greater than 64,1,9
VL Whole life,greater than 64,2,6
Whole life,18-22,1,33
Whole life,18-22,2,17
Whole life,23-30,1,239
Whole life,23-30,2,114
Whole life,31-40,1,400
Whole life,31-40,2,167
Whole life,41-50,1,332
Whole life,41-50,2,159
Whole life,51-60,1,222
Whole life,51-60,2,117
Whole life,61-64,1,75
Whole life,61-64,2,47
Whole life,greater than 64,1,99
Whole life,greater than 64,2,127
