Policy Type Name,a_group,Policyholder'S_Gender,LatestS_01 Count,LatestS_01 SUM,LatestS_01 average
Annuity(Annuity Certain ),18-22,1,374,312622897,835890.098930481283
Annuity(Annuity Certain ),18-22,2,342,263294072,769865.707602339181
Annuity(Annuity Certain ),23-30,1,1814,1256728198,692793.934950385888
Annuity(Annuity Certain ),23-30,2,1379,897106338,650548.468455402466
Annuity(Annuity Certain ),31-40,1,1980,1146672939,579127.746969696970
Annuity(Annuity Certain ),31-40,2,1481,840636303,567613.979068197164
Annuity(Annuity Certain ),41-50,1,1493,873962540,585373.436034829203
Annuity(Annuity Certain ),41-50,2,1329,721018306,542526.942061700527
Annuity(Annuity Certain ),51-60,1,686,404918101,590259.622448979592
Annuity(Annuity Certain ),51-60,2,681,427925270,628377.782672540382
Annuity(Annuity Certain ),61-64,1,64,47514901,742420.328125000000
Annuity(Annuity Certain ),61-64,2,56,45534396,813114.214285714286
Annuity(Annuity Certain ),greater than 64,1,54,39674559,734714.055555555556
Annuity(Annuity Certain ),greater than 64,2,53,54216016,1022943.698113207547
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,15,11157547,743836.466666666667
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,9,7821865,869096.111111111111
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,60,37974977,632916.283333333333
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,40,24405651,610141.275000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,48,28945848,603038.500000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,29,17389605,599641.551724137931
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,36,25731627,714767.416666666667
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,29,21338664,735816.000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,15,12846490,856432.666666666667
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,19,11308480,595183.157894736842
