Policy Type Name,a_group,Policyholder'S_Gender,application Channel,detail,application Channel Count
Annuity(Annuity Certain ),18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),22
Annuity(Annuity Certain ),18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),32
Annuity(Annuity Certain ),18-22,1,60,Existing Policyholder,110
Annuity(Annuity Certain ),18-22,1,70,Group,6
Annuity(Annuity Certain ),18-22,1,99,Other,81
Annuity(Annuity Certain ),18-22,1,,,123
Annuity(Annuity Certain ),18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),35
Annuity(Annuity Certain ),18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),34
Annuity(Annuity Certain ),18-22,2,60,Existing Policyholder,99
Annuity(Annuity Certain ),18-22,2,70,Group,3
Annuity(Annuity Certain ),18-22,2,99,Other,75
Annuity(Annuity Certain ),18-22,2,,,96
Annuity(Annuity Certain ),23-30,1,10,apply by self,5
Annuity(Annuity Certain ),23-30,1,25,Introduced by Agency,3
Annuity(Annuity Certain ),23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),153
Annuity(Annuity Certain ),23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),106
Annuity(Annuity Certain ),23-30,1,60,Existing Policyholder,420
Annuity(Annuity Certain ),23-30,1,70,Group,25
Annuity(Annuity Certain ),23-30,1,99,Other,528
Annuity(Annuity Certain ),23-30,1,,,574
Annuity(Annuity Certain ),23-30,2,10,apply by self,7
Annuity(Annuity Certain ),23-30,2,25,Introduced by Agency,7
Annuity(Annuity Certain ),23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),129
Annuity(Annuity Certain ),23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),103
Annuity(Annuity Certain ),23-30,2,60,Existing Policyholder,365
Annuity(Annuity Certain ),23-30,2,70,Group,21
Annuity(Annuity Certain ),23-30,2,99,Other,385
Annuity(Annuity Certain ),23-30,2,,,362
Annuity(Annuity Certain ),31-40,1,10,apply by self,10
Annuity(Annuity Certain ),31-40,1,20,Introduced by employee,1
Annuity(Annuity Certain ),31-40,1,25,Introduced by Agency,3
Annuity(Annuity Certain ),31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),163
Annuity(Annuity Certain ),31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),108
Annuity(Annuity Certain ),31-40,1,60,Existing Policyholder,545
Annuity(Annuity Certain ),31-40,1,70,Group,26
Annuity(Annuity Certain ),31-40,1,99,Other,921
Annuity(Annuity Certain ),31-40,1,,,203
Annuity(Annuity Certain ),31-40,2,10,apply by self,2
Annuity(Annuity Certain ),31-40,2,25,Introduced by Agency,3
