Policy Type Name,a_group,Policyholder'S_Gender,Termination  Reason,merge_reason_code,Type,Details,Termination Reason  Count
Annuity(Annuity Certain ),18-22,1,G21,G21,Surrender ,Surrender,312
Annuity(Annuity Certain ),18-22,1,G22,G22,Surrender ,Surrender after lapse,56
Annuity(Annuity Certain ),18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Annuity(Annuity Certain ),18-22,2,G21,G21,Surrender ,Surrender,309
Annuity(Annuity Certain ),18-22,2,G22,G22,Surrender ,Surrender after lapse,28
Annuity(Annuity Certain ),18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Annuity(Annuity Certain ),23-30,1,G21,G21,Surrender ,Surrender,1584
Annuity(Annuity Certain ),23-30,1,G22,G22,Surrender ,Surrender after lapse,202
Annuity(Annuity Certain ),23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,28
Annuity(Annuity Certain ),23-30,2,G21,G21,Surrender ,Surrender,1232
Annuity(Annuity Certain ),23-30,2,G22,G22,Surrender ,Surrender after lapse,119
Annuity(Annuity Certain ),23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,28
Annuity(Annuity Certain ),31-40,1,G21,G21,Surrender ,Surrender,1702
Annuity(Annuity Certain ),31-40,1,G22,G22,Surrender ,Surrender after lapse,232
Annuity(Annuity Certain ),31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,45
Annuity(Annuity Certain ),31-40,1,G25,G25,Surrender ,Surrender of consent,1
Annuity(Annuity Certain ),31-40,2,G21,G21,Surrender ,Surrender,1309
Annuity(Annuity Certain ),31-40,2,G22,G22,Surrender ,Surrender after lapse,141
Annuity(Annuity Certain ),31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,31
Annuity(Annuity Certain ),41-50,1,G21,G21,Surrender ,Surrender,1289
Annuity(Annuity Certain ),41-50,1,G22,G22,Surrender ,Surrender after lapse,167
Annuity(Annuity Certain ),41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,37
Annuity(Annuity Certain ),41-50,2,G21,G21,Surrender ,Surrender,1192
Annuity(Annuity Certain ),41-50,2,G22,G22,Surrender ,Surrender after lapse,120
Annuity(Annuity Certain ),41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,17
Annuity(Annuity Certain ),51-60,1,G21,G21,Surrender ,Surrender,618
Annuity(Annuity Certain ),51-60,1,G22,G22,Surrender ,Surrender after lapse,50
Annuity(Annuity Certain ),51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,18
Annuity(Annuity Certain ),51-60,2,G21,G21,Surrender ,Surrender,607
Annuity(Annuity Certain ),51-60,2,G22,G22,Surrender ,Surrender after lapse,62
Annuity(Annuity Certain ),51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,12
Annuity(Annuity Certain ),61-64,1,G21,G21,Surrender ,Surrender,53
Annuity(Annuity Certain ),61-64,1,G22,G22,Surrender ,Surrender after lapse,9
Annuity(Annuity Certain ),61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Annuity(Annuity Certain ),61-64,2,G21,G21,Surrender ,Surrender,50
Annuity(Annuity Certain ),61-64,2,G22,G22,Surrender ,Surrender after lapse,4
Annuity(Annuity Certain ),61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Annuity(Annuity Certain ),greater than 64,1,G21,G21,Surrender ,Surrender,44
Annuity(Annuity Certain ),greater than 64,1,G22,G22,Surrender ,Surrender after lapse,10
Annuity(Annuity Certain ),greater than 64,2,G21,G21,Surrender ,Surrender,47
Annuity(Annuity Certain ),greater than 64,2,G22,G22,Surrender ,Surrender after lapse,6
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,G21,G21,Surrender ,Surrender,13
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,G22,G22,Surrender ,Surrender after lapse,1
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,G21,G21,Surrender ,Surrender,9
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,G21,G21,Surrender ,Surrender,53
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,G22,G22,Surrender ,Surrender after lapse,4
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,G21,G21,Surrender ,Surrender,34
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,G22,G22,Surrender ,Surrender after lapse,6
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,G21,G21,Surrender ,Surrender,39
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,G22,G22,Surrender ,Surrender after lapse,9
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,G21,G21,Surrender ,Surrender,29
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,G21,G21,Surrender ,Surrender,30
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,G22,G22,Surrender ,Surrender after lapse,5
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,G21,G21,Surrender ,Surrender,27
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,G22,G22,Surrender ,Surrender after lapse,2
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,G21,G21,Surrender ,Surrender,15
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,G21,G21,Surrender ,Surrender,17
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,G22,G22,Surrender ,Surrender after lapse,2
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,G21,G21,Surrender ,Surrender,4
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,G21,G21,Surrender ,Surrender,2
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,G21,G21,Surrender ,Surrender,3
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,G21,G21,Surrender ,Surrender,3
Cancer,18-22,1,G21,G21,Surrender ,Surrender,7523
Cancer,18-22,1,G22,G22,Surrender ,Surrender after lapse,1865
Cancer,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,102
Cancer,18-22,1,G24,G24,Surrender ,Surrender by conversion,1
Cancer,18-22,1,G25,G25,Surrender ,Surrender of consent,1
Cancer,18-22,2,G21,G21,Surrender ,Surrender,5004
Cancer,18-22,2,G22,G22,Surrender ,Surrender after lapse,794
Cancer,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,64
Cancer,18-22,2,G25,G25,Surrender ,Surrender of consent,1
Cancer,23-30,1,G21,G21,Surrender ,Surrender,42075
Cancer,23-30,1,G22,G22,Surrender ,Surrender after lapse,7659
Cancer,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,421
Cancer,23-30,1,G24,G24,Surrender ,Surrender by conversion,1
Cancer,23-30,1,G25,G25,Surrender ,Surrender of consent,1
Cancer,23-30,2,G21,G21,Surrender ,Surrender,19090
Cancer,23-30,2,G22,G22,Surrender ,Surrender after lapse,2843
Cancer,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,231
Cancer,23-30,2,G24,G24,Surrender ,Surrender by conversion,4
Cancer,31-40,1,G21,G21,Surrender ,Surrender,41235
Cancer,31-40,1,G22,G22,Surrender ,Surrender after lapse,9021
Cancer,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,486
Cancer,31-40,1,G24,G24,Surrender ,Surrender by conversion,3
Cancer,31-40,1,G25,G25,Surrender ,Surrender of consent,6
Cancer,31-40,2,G21,G21,Surrender ,Surrender,16941
Cancer,31-40,2,G22,G22,Surrender ,Surrender after lapse,3656
Cancer,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,262
Cancer,31-40,2,G24,G24,Surrender ,Surrender by conversion,1
Cancer,31-40,2,G25,G25,Surrender ,Surrender of consent,4
Cancer,41-50,0,G21,G21,Surrender ,Surrender,3
Cancer,41-50,0,G22,G22,Surrender ,Surrender after lapse,1
Cancer,41-50,1,G21,G21,Surrender ,Surrender,37705
Cancer,41-50,1,G22,G22,Surrender ,Surrender after lapse,8283
Cancer,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,478
Cancer,41-50,1,G24,G24,Surrender ,Surrender by conversion,3
Cancer,41-50,1,G25,G25,Surrender ,Surrender of consent,11
Cancer,41-50,2,G21,G21,Surrender ,Surrender,16313
Cancer,41-50,2,G22,G22,Surrender ,Surrender after lapse,3403
Cancer,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,225
Cancer,41-50,2,G24,G24,Surrender ,Surrender by conversion,4
Cancer,41-50,2,G25,G25,Surrender ,Surrender of consent,1
Cancer,41-50,3,G21,G21,Surrender ,Surrender,1
Cancer,51-60,0,G22,G22,Surrender ,Surrender after lapse,1
Cancer,51-60,1,G21,G21,Surrender ,Surrender,24390
Cancer,51-60,1,G22,G22,Surrender ,Surrender after lapse,4174
Cancer,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,317
Cancer,51-60,1,G24,G24,Surrender ,Surrender by conversion,3
Cancer,51-60,1,G25,G25,Surrender ,Surrender of consent,15
Cancer,51-60,1,G26,G26,Surrender ,Retirement surrender,1
Cancer,51-60,2,G21,G21,Surrender ,Surrender,11683
Cancer,51-60,2,G22,G22,Surrender ,Surrender after lapse,1990
Cancer,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,152
Cancer,51-60,2,G25,G25,Surrender ,Surrender of consent,6
Cancer,61-64,1,G21,G21,Surrender ,Surrender,2761
Cancer,61-64,1,G22,G22,Surrender ,Surrender after lapse,463
Cancer,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,36
Cancer,61-64,2,G21,G21,Surrender ,Surrender,1996
Cancer,61-64,2,G22,G22,Surrender ,Surrender after lapse,284
Cancer,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,38
Cancer,61-64,2,G25,G25,Surrender ,Surrender of consent,1
Cancer,greater than 64,1,G21,G21,Surrender ,Surrender,2359
Cancer,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,410
Cancer,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,27
Cancer,greater than 64,2,G21,G21,Surrender ,Surrender,2091
Cancer,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,328
Cancer,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,39
Cancer,greater than 64,2,G24,G24,Surrender ,Surrender by conversion,1
Cancer,greater than 64,2,G25,G25,Surrender ,Surrender of consent,1
Cancer,greater than 64,2,G26,G26,Surrender ,Retirement surrender,1
Dread Disease T.L.,18-22,1,G21,G21,Surrender ,Surrender,42
Dread Disease T.L.,18-22,1,G22,G22,Surrender ,Surrender after lapse,12
Dread Disease T.L.,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Dread Disease T.L.,18-22,2,G21,G21,Surrender ,Surrender,36
Dread Disease T.L.,18-22,2,G22,G22,Surrender ,Surrender after lapse,12
Dread Disease T.L.,23-30,1,G21,G21,Surrender ,Surrender,486
Dread Disease T.L.,23-30,1,G22,G22,Surrender ,Surrender after lapse,104
Dread Disease T.L.,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,8
Dread Disease T.L.,23-30,1,G24,G24,Surrender ,Surrender by conversion,3
Dread Disease T.L.,23-30,2,G21,G21,Surrender ,Surrender,227
Dread Disease T.L.,23-30,2,G22,G22,Surrender ,Surrender after lapse,54
Dread Disease T.L.,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Dread Disease T.L.,23-30,2,G24,G24,Surrender ,Surrender by conversion,5
Dread Disease T.L.,31-40,1,G21,G21,Surrender ,Surrender,889
Dread Disease T.L.,31-40,1,G22,G22,Surrender ,Surrender after lapse,282
Dread Disease T.L.,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,17
Dread Disease T.L.,31-40,1,G24,G24,Surrender ,Surrender by conversion,7
Dread Disease T.L.,31-40,2,G21,G21,Surrender ,Surrender,397
Dread Disease T.L.,31-40,2,G22,G22,Surrender ,Surrender after lapse,104
Dread Disease T.L.,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,10
Dread Disease T.L.,31-40,2,G24,G24,Surrender ,Surrender by conversion,4
