Policy Type Name,only_termination_sum,gender,age
Annuity(Annuity Certain ),374,1,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),15,1,18-22
Cancer,9492,1,18-22
Dread Disease T.L.,56,1,18-22
Dread Disease W.L.,1170,1,18-22
Endowment,265,1,18-22
Female Disease,33,1,18-22
Inc. Dec. Term Life,1,1,18-22
J.M.I.P,4,1,18-22
Joint life,11,1,18-22
Joint life(Flexible),56,1,18-22
Juvenile,490,1,18-22
Medical,24202,1,18-22
M.I.P,651,1,18-22
Nursing care,10,1,18-22
Term life,2183,1,18-22
VL Endowment,10,1,18-22
VL Whole life,300,1,18-22
Whole life,9723,1,18-22
Annuity(Annuity Certain ),342,2,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),9,2,18-22
Cancer,5863,2,18-22
Dread Disease T.L.,48,2,18-22
Dread Disease W.L.,816,2,18-22
Endowment,290,2,18-22
Female Disease,3710,2,18-22
J.M.I.P,2,2,18-22
Joint life,4,2,18-22
Joint life(Flexible),23,2,18-22
Juvenile,406,2,18-22
Medical,27549,2,18-22
M.I.P,123,2,18-22
Nursing care,15,2,18-22
Term life,1044,2,18-22
VL Endowment,10,2,18-22
VL Whole life,147,2,18-22
Whole life,5784,2,18-22
Annuity(Annuity Certain ),1814,1,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),60,1,23-30
Cancer,50157,1,23-30
Dread Disease T.L.,601,1,23-30
Dread Disease W.L.,5028,1,23-30
Endowment,887,1,23-30
Female Disease,936,1,23-30
Inc. Dec. Term Life,13,1,23-30
Injury,10,1,23-30
J.M.I.P,30,1,23-30
Joint life,248,1,23-30
Joint life(Flexible),530,1,23-30
Juvenile,5916,1,23-30
Maternity Insurance(or New Pregnant Woman Insurance),2,1,23-30
Medical,110643,1,23-30
M.I.P,16072,1,23-30
Nursing care,110,1,23-30
Term life,14829,1,23-30
VL Endowment,57,1,23-30
VL Whole life,2273,1,23-30
Whole life,39801,1,23-30
Annuity(Annuity Certain ),1379,2,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),40,2,23-30
Cancer,22168,2,23-30
Dread Disease T.L.,290,2,23-30
Dread Disease W.L.,2944,2,23-30
Endowment,836,2,23-30
Female Disease,14549,2,23-30
Inc. Dec. Term Life,5,2,23-30
Injury,1,2,23-30
J.M.I.P,5,2,23-30
Joint life,19,2,23-30
Joint life(Flexible),85,2,23-30
Juvenile,3004,2,23-30
Maternity Insurance(or New Pregnant Woman Insurance),3,2,23-30
Medical,115221,2,23-30
M.I.P,2337,2,23-30
Nursing care,27,2,23-30
Term life,3635,2,23-30
VL Endowment,39,2,23-30
VL Whole life,872,2,23-30
Whole life,17541,2,23-30
Annuity(Annuity Certain ),1980,1,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),48,1,31-40
Cancer,50751,1,31-40
Dread Disease T.L.,1195,1,31-40
Dread Disease W.L.,5081,1,31-40
Endowment,1640,1,31-40
Female Disease,1361,1,31-40
Inc. Dec. Term Life,43,1,31-40
Injury,171,1,31-40
J.M.I.P,60,1,31-40
Joint life,320,1,31-40
Joint life(Flexible),694,1,31-40
Juvenile,7405,1,31-40
Medical,133044,1,31-40
M.I.P,27350,1,31-40
Nursing care,144,1,31-40
Term life,26636,1,31-40
VL Endowment,198,1,31-40
VL Whole life,2893,1,31-40
Whole life,42251,1,31-40
Annuity(Annuity Certain ),1481,2,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),29,2,31-40
Cancer,20864,2,31-40
Dread Disease T.L.,515,2,31-40
Dread Disease W.L.,2666,2,31-40
Endowment,1186,2,31-40
Female Disease,8695,2,31-40
Inc. Dec. Term Life,10,2,31-40
Injury,11,2,31-40
