Policy Type Name,only_termination_sum,gender,age
Annuity(Annuity Certain ),912,1,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),32,1,18-22
Cancer,20179,1,18-22
Dread Disease T.L.,223,1,18-22
Dread Disease W.L.,2475,1,18-22
Endowment,561,1,18-22
Female Disease,62,1,18-22
Inc. Dec. Term Life,4,1,18-22
J.M.I.P,5,1,18-22
Joint life,16,1,18-22
Joint life(Flexible),161,1,18-22
Juvenile,950,1,18-22
Maternity Insurance(or New Pregnant Woman Insurance),4,1,18-22
Medical,64568,1,18-22
Medical（Coins） ,5,1,18-22
M.I.P,2583,1,18-22
Nursing care,18,1,18-22
Term life,4371,1,18-22
VL Endowment,13,1,18-22
VL Whole life,600,1,18-22
Whole life,25307,1,18-22
Annuity(Annuity Certain ),947,2,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),23,2,18-22
Cancer,12306,2,18-22
Dread Disease T.L.,206,2,18-22
Dread Disease W.L.,1829,2,18-22
Endowment,665,2,18-22
Female Disease,5681,2,18-22
Inc. Dec. Term Life,1,2,18-22
J.M.I.P,3,2,18-22
Joint life,7,2,18-22
Joint life(Flexible),109,2,18-22
Juvenile,925,2,18-22
Maternity Insurance(or New Pregnant Woman Insurance),38,2,18-22
Medical,75528,2,18-22
Medical（Coins） ,5,2,18-22
M.I.P,538,2,18-22
Nursing care,18,2,18-22
Term life,2259,2,18-22
VL Endowment,14,2,18-22
VL Whole life,302,2,18-22
Whole life,17385,2,18-22
Annuity(Annuity Certain ),4581,1,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),112,1,23-30
Cancer,104526,1,23-30
Dread Disease T.L.,1698,1,23-30
Dread Disease W.L.,11234,1,23-30
Endowment,1696,1,23-30
Female Disease,1645,1,23-30
Inc. Dec. Term Life,28,1,23-30
Injury,11,1,23-30
J.M.I.P,52,1,23-30
Joint life,414,1,23-30
Joint life(Flexible),1067,1,23-30
Juvenile,14702,1,23-30
Maternity Insurance(or New Pregnant Woman Insurance),60,1,23-30
Medical,296989,1,23-30
Medical（Coins） ,21,1,23-30
M.I.P,87592,1,23-30
Nursing care,138,1,23-30
Term life,27186,1,23-30
VL Endowment,81,1,23-30
VL Whole life,4951,1,23-30
Whole life,117108,1,23-30
Annuity(Annuity Certain ),4050,2,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),79,2,23-30
Cancer,49675,2,23-30
Dread Disease T.L.,1163,2,23-30
Dread Disease W.L.,6998,2,23-30
Endowment,1692,2,23-30
Female Disease,23831,2,23-30
Inc. Dec. Term Life,10,2,23-30
Injury,1,2,23-30
J.M.I.P,18,2,23-30
Joint life,33,2,23-30
Joint life(Flexible),323,2,23-30
Juvenile,8011,2,23-30
Maternity Insurance(or New Pregnant Woman Insurance),436,2,23-30
Medical,318628,2,23-30
Medical（Coins） ,14,2,23-30
M.I.P,12627,2,23-30
Nursing care,45,2,23-30
Term life,7853,2,23-30
VL Endowment,58,2,23-30
VL Whole life,1829,2,23-30
Whole life,65372,2,23-30
Annuity(Annuity Certain ),5540,1,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),106,1,31-40
Cancer,121285,1,31-40
Dread Disease T.L.,4083,1,31-40
Dread Disease W.L.,13005,1,31-40
Endowment,2757,1,31-40
Female Disease,2501,1,31-40
Inc. Dec. Term Life,70,1,31-40
Injury,192,1,31-40
J.M.I.P,113,1,31-40
Joint life,584,1,31-40
Joint life(Flexible),1725,1,31-40
Juvenile,22064,1,31-40
Maternity Insurance(or New Pregnant Woman Insurance),60,1,31-40
Medical,465370,1,31-40
Medical（Coins） ,93,1,31-40
M.I.P,205312,1,31-40
Nursing care,192,1,31-40
