Policy Type Name,only_termination_sum,gender,age
Annuity(Annuity Certain ),126,1,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),8,1,18-22
Cancer,2596,1,18-22
Dread Disease T.L.,37,1,18-22
Dread Disease W.L.,325,1,18-22
Endowment,137,1,18-22
Female Disease,3,1,18-22
Inc. Dec. Term Life,2,1,18-22
J.M.I.P,2,1,18-22
Joint life,1,1,18-22
Joint life(Flexible),103,1,18-22
Juvenile,187,1,18-22
Medical,14033,1,18-22
Medical（Coins） ,3,1,18-22
M.I.P,283,1,18-22
Nursing care,2,1,18-22
Term life,837,1,18-22
VL Endowment,3,1,18-22
VL Whole life,79,1,18-22
Whole life,4821,1,18-22
Annuity(Annuity Certain ),120,2,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),4,2,18-22
Cancer,2037,2,18-22
Dread Disease T.L.,28,2,18-22
Dread Disease W.L.,248,2,18-22
Endowment,131,2,18-22
Female Disease,584,2,18-22
Inc. Dec. Term Life,1,2,18-22
Joint life(Flexible),99,2,18-22
Juvenile,191,2,18-22
Maternity Insurance(or New Pregnant Woman Insurance),15,2,18-22
Medical,13771,2,18-22
Medical（Coins） ,3,2,18-22
M.I.P,61,2,18-22
Nursing care,6,2,18-22
Term life,409,2,18-22
VL Endowment,2,2,18-22
VL Whole life,36,2,18-22
Whole life,3088,2,18-22
Annuity(Annuity Certain ),1554,1,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),36,1,23-30
Cancer,41794,1,23-30
Dread Disease T.L.,656,1,23-30
Dread Disease W.L.,4006,1,23-30
Endowment,933,1,23-30
Female Disease,295,1,23-30
Inc. Dec. Term Life,8,1,23-30
Injury,6,1,23-30
J.M.I.P,8,1,23-30
Joint life,110,1,23-30
Joint life(Flexible),396,1,23-30
Juvenile,3365,1,23-30
Maternity Insurance(or New Pregnant Woman Insurance),47,1,23-30
Medical,138190,1,23-30
Medical（Coins） ,21,1,23-30
M.I.P,22568,1,23-30
Nursing care,49,1,23-30
Term life,9475,1,23-30
VL Endowment,38,1,23-30
VL Whole life,1163,1,23-30
Whole life,48141,1,23-30
Annuity(Annuity Certain ),1442,2,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),27,2,23-30
Cancer,22290,2,23-30
Dread Disease T.L.,515,2,23-30
Dread Disease W.L.,2720,2,23-30
Endowment,1029,2,23-30
Female Disease,9057,2,23-30
Inc. Dec. Term Life,5,2,23-30
Injury,1,2,23-30
J.M.I.P,3,2,23-30
Joint life,12,2,23-30
Joint life(Flexible),188,2,23-30
Juvenile,2405,2,23-30
Maternity Insurance(or New Pregnant Woman Insurance),369,2,23-30
Medical,151100,2,23-30
Medical（Coins） ,13,2,23-30
M.I.P,4245,2,23-30
Nursing care,34,2,23-30
Term life,3898,2,23-30
VL Endowment,28,2,23-30
VL Whole life,529,2,23-30
Whole life,32323,2,23-30
Annuity(Annuity Certain ),4150,1,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),99,1,31-40
Cancer,95863,1,31-40
Dread Disease T.L.,2672,1,31-40
Dread Disease W.L.,11220,1,31-40
Endowment,2242,1,31-40
Female Disease,1479,1,31-40
Inc. Dec. Term Life,54,1,31-40
Injury,136,1,31-40
J.M.I.P,57,1,31-40
Joint life,318,1,31-40
Joint life(Flexible),1130,1,31-40
Juvenile,14560,1,31-40
Maternity Insurance(or New Pregnant Woman Insurance),72,1,31-40
Medical,398626,1,31-40
Medical（Coins） ,81,1,31-40
M.I.P,163642,1,31-40
Nursing care,140,1,31-40
Term life,34478,1,31-40
VL Endowment,198,1,31-40
VL Whole life,3910,1,31-40
Whole life,133405,1,31-40
Annuity(Annuity Certain ),3466,2,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),59,2,31-40
Cancer,48324,2,31-40
Dread Disease T.L.,1713,2,31-40
Dread Disease W.L.,7070,2,31-40
Endowment,1990,2,31-40
Female Disease,16779,2,31-40
Inc. Dec. Term Life,12,2,31-40
Injury,9,2,31-40
J.M.I.P,31,2,31-40
Joint life,30,2,31-40
Joint life(Flexible),428,2,31-40
Juvenile,8181,2,31-40
Maternity Insurance(or New Pregnant Woman Insurance),298,2,31-40
Medical,388383,2,31-40
Medical（Coins） ,77,2,31-40
M.I.P,23951,2,31-40
Nursing care,31,2,31-40
Term life,9690,2,31-40
VL Endowment,52,2,31-40
VL Whole life,1436,2,31-40
Whole life,78374,2,31-40
Annuity(Annuity Certain ),5762,1,41-50
Annuity(Whole Life Annuity With Guaranteed Installment ),114,1,41-50
Cancer,114271,1,41-50
Dread Disease T.L.,3820,1,41-50
Dread Disease W.L.,12063,1,41-50
Endowment,3224,1,41-50
Female Disease,2161,1,41-50
Inc. Dec. Term Life,79,1,41-50
Injury,221,1,41-50
J.M.I.P,120,1,41-50
Joint life,337,1,41-50
Joint life(Flexible),1462,1,41-50
Juvenile,17545,1,41-50
Maternity Insurance(or New Pregnant Woman Insurance),11,1,41-50
Medical,418806,1,41-50
Medical（Coins） ,317,1,41-50
M.I.P,160974,1,41-50
Nursing care,162,1,41-50
Term life,47423,1,41-50
VL Endowment,133,1,41-50
VL Whole life,6029,1,41-50
Whole life,138622,1,41-50
Annuity(Annuity Certain ),5166,2,41-50
Annuity(Whole Life Annuity With Guaranteed Installment ),99,2,41-50
Cancer,53665,2,41-50
Dread Disease T.L.,2190,2,41-50
Dread Disease W.L.,7207,2,41-50
Endowment,2232,2,41-50
Female Disease,16281,2,41-50
Inc. Dec. Term Life,16,2,41-50
Injury,25,2,41-50
J.M.I.P,58,2,41-50
Joint life,59,2,41-50
Joint life(Flexible),660,2,41-50
Juvenile,7404,2,41-50
Maternity Insurance(or New Pregnant Woman Insurance),9,2,41-50
Medical,379282,2,41-50
Medical（Coins） ,311,2,41-50
M.I.P,20990,2,41-50
Nursing care,76,2,41-50
Term life,14284,2,41-50
VL Endowment,60,2,41-50
VL Whole life,2078,2,41-50
Whole life,85261,2,41-50
Annuity(Annuity Certain ),3341,1,51-60
Annuity(Whole Life Annuity With Guaranteed Installment ),77,1,51-60
Cancer,98054,1,51-60
Dread Disease T.L.,2366,1,51-60
Dread Disease W.L.,6859,1,51-60
Endowment,3120,1,51-60
Female Disease,2603,1,51-60
Inc. Dec. Term Life,159,1,51-60
Injury,387,1,51-60
J.M.I.P,132,1,51-60
Joint life,307,1,51-60
Joint life(Flexible),1278,1,51-60
Juvenile,6220,1,51-60
Maternity Insurance(or New Pregnant Woman Insurance),3,1,51-60
Medical,271785,1,51-60
Medical（Coins） ,644,1,51-60
M.I.P,53893,1,51-60
Nursing care,111,1,51-60
Term life,45574,1,51-60
VL Endowment,124,1,51-60
VL Whole life,3421,1,51-60
Whole life,75933,1,51-60
Annuity(Annuity Certain ),3488,2,51-60
Annuity(Whole Life Annuity With Guaranteed Installment ),72,2,51-60
Cancer,46969,2,51-60
Dread Disease T.L.,1430,2,51-60
Dread Disease W.L.,4356,2,51-60
Endowment,1786,2,51-60
Female Disease,9920,2,51-60
Inc. Dec. Term Life,32,2,51-60
Injury,18,2,51-60
J.M.I.P,81,2,51-60
Joint life,33,2,51-60
Joint life(Flexible),738,2,51-60
Juvenile,1859,2,51-60
Maternity Insurance(or New Pregnant Woman Insurance),8,2,51-60
Medical,242290,2,51-60
Medical（Coins） ,449,2,51-60
M.I.P,6220,2,51-60
Nursing care,92,2,51-60
Term life,15035,2,51-60
VL Endowment,72,2,51-60
VL Whole life,1393,2,51-60
Whole life,57838,2,51-60
Annuity(Annuity Certain ),737,1,61-64
Annuity(Whole Life Annuity With Guaranteed Installment ),19,1,61-64
Cancer,28642,1,61-64
Dread Disease T.L.,515,1,61-64
Dread Disease W.L.,1477,1,61-64
Endowment,945,1,61-64
Female Disease,638,1,61-64
Inc. Dec. Term Life,74,1,61-64
Injury,125,1,61-64
J.M.I.P,29,1,61-64
Joint life,108,1,61-64
Joint life(Flexible),376,1,61-64
Juvenile,429,1,61-64
Maternity Insurance(or New Pregnant Woman Insurance),1,1,61-64
Medical,80022,1,61-64
Medical（Coins） ,340,1,61-64
M.I.P,5743,1,61-64
Nursing care,30,1,61-64
Term life,14169,1,61-64
VL Endowment,52,1,61-64
VL Whole life,741,1,61-64
Whole life,20070,1,61-64
Annuity(Annuity Certain ),809,2,61-64
Annuity(Whole Life Annuity With Guaranteed Installment ),11,2,61-64
Cancer,15345,2,61-64
Dread Disease T.L.,382,2,61-64
Dread Disease W.L.,1072,2,61-64
Endowment,549,2,61-64
Female Disease,2032,2,61-64
Inc. Dec. Term Life,19,2,61-64
Injury,3,2,61-64
J.M.I.P,29,2,61-64
Joint life,5,2,61-64
Joint life(Flexible),281,2,61-64
Juvenile,400,2,61-64
Maternity Insurance(or New Pregnant Woman Insurance),4,2,61-64
Medical,76521,2,61-64
Medical（Coins） ,198,2,61-64
M.I.P,974,2,61-64
Nursing care,32,2,61-64
Term life,5961,2,61-64
VL Endowment,16,2,61-64
VL Whole life,447,2,61-64
Whole life,18338,2,61-64
Annuity(Annuity Certain ),1094,1,greater than 64
Annuity(Whole Life Annuity With Guaranteed Installment ),28,1,greater than 64
Cancer,51454,1,greater than 64
Dread Disease T.L.,532,1,greater than 64
Dread Disease W.L.,2151,1,greater than 64
Endowment,1893,1,greater than 64
Female Disease,1137,1,greater than 64
Inc. Dec. Term Life,204,1,greater than 64
Injury,221,1,greater than 64
J.M.I.P,49,1,greater than 64
Joint life,330,1,greater than 64
Joint life(Flexible),1093,1,greater than 64
Juvenile,613,1,greater than 64
Maternity Insurance(or New Pregnant Woman Insurance),2,1,greater than 64
Medical,163610,1,greater than 64
Medical（Coins） ,652,1,greater than 64
M.I.P,3732,1,greater than 64
Nursing care,132,1,greater than 64
Term life,29839,1,greater than 64
VL Endowment,121,1,greater than 64
VL Whole life,1671,1,greater than 64
Whole life,45577,1,greater than 64
Annuity(Annuity Certain ),1394,2,greater than 64
Annuity(Whole Life Annuity With Guaranteed Installment ),41,2,greater than 64
Cancer,34125,2,greater than 64
Dread Disease T.L.,492,2,greater than 64
Dread Disease W.L.,1936,2,greater than 64
Endowment,1350,2,greater than 64
Female Disease,3225,2,greater than 64
Inc. Dec. Term Life,61,2,greater than 64
Injury,18,2,greater than 64
J.M.I.P,41,2,greater than 64
Joint life,59,2,greater than 64
Joint life(Flexible),1012,2,greater than 64
Juvenile,1325,2,greater than 64
Maternity Insurance(or New Pregnant Woman Insurance),4,2,greater than 64
Medical,195238,2,greater than 64
Medical（Coins） ,332,2,greater than 64
M.I.P,1091,2,greater than 64
Nursing care,136,2,greater than 64
Term life,16135,2,greater than 64
VL Endowment,26,2,greater than 64
VL Whole life,1365,2,greater than 64
Whole life,53435,2,greater than 64
