Policy Type Name,only_termination_sum,gender,age
Annuity(Annuity Certain ),83,1,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),5,1,18-22
Cancer,1980,1,18-22
Dread Disease T.L.,11,1,18-22
Dread Disease W.L.,243,1,18-22
Endowment,91,1,18-22
Female Disease,3,1,18-22
Inc. Dec. Term Life,1,1,18-22
J.M.I.P,1,1,18-22
Joint life(Flexible),23,1,18-22
Juvenile,85,1,18-22
Medical,6073,1,18-22
M.I.P,123,1,18-22
Nursing care,2,1,18-22
Term life,478,1,18-22
VL Endowment,3,1,18-22
VL Whole life,64,1,18-22
Whole life,2236,1,18-22
Annuity(Annuity Certain ),67,2,18-22
Annuity(Whole Life Annuity With Guaranteed Installment ),4,2,18-22
Cancer,1539,2,18-22
Dread Disease T.L.,13,2,18-22
Dread Disease W.L.,191,2,18-22
Endowment,94,2,18-22
Female Disease,531,2,18-22
Joint life(Flexible),16,2,18-22
Juvenile,78,2,18-22
Medical,5916,2,18-22
M.I.P,19,2,18-22
Nursing care,6,2,18-22
Term life,258,2,18-22
VL Endowment,2,2,18-22
VL Whole life,28,2,18-22
Whole life,1346,2,18-22
Annuity(Annuity Certain ),1007,1,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),28,1,23-30
Cancer,29783,1,23-30
Dread Disease T.L.,294,1,23-30
Dread Disease W.L.,2966,1,23-30
Endowment,601,1,23-30
Female Disease,271,1,23-30
Inc. Dec. Term Life,5,1,23-30
Injury,6,1,23-30
J.M.I.P,7,1,23-30
Joint life,79,1,23-30
Joint life(Flexible),241,1,23-30
Juvenile,2353,1,23-30
Maternity Insurance(or New Pregnant Woman Insurance),2,1,23-30
Medical,64440,1,23-30
M.I.P,7547,1,23-30
Nursing care,35,1,23-30
Term life,6178,1,23-30
VL Endowment,29,1,23-30
VL Whole life,994,1,23-30
Whole life,23088,1,23-30
Annuity(Annuity Certain ),844,2,23-30
Annuity(Whole Life Annuity With Guaranteed Installment ),19,2,23-30
Cancer,14690,2,23-30
Dread Disease T.L.,172,2,23-30
Dread Disease W.L.,1896,2,23-30
Endowment,650,2,23-30
Female Disease,7767,2,23-30
Inc. Dec. Term Life,2,2,23-30
Injury,1,2,23-30
J.M.I.P,2,2,23-30
Joint life,7,2,23-30
Joint life(Flexible),56,2,23-30
Juvenile,1366,2,23-30
Maternity Insurance(or New Pregnant Woman Insurance),3,2,23-30
Medical,69129,2,23-30
M.I.P,1230,2,23-30
Nursing care,22,2,23-30
Term life,2115,2,23-30
VL Endowment,24,2,23-30
VL Whole life,462,2,23-30
Whole life,12018,2,23-30
Annuity(Annuity Certain ),2146,1,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),66,1,31-40
Cancer,50980,1,31-40
Dread Disease T.L.,1015,1,31-40
Dread Disease W.L.,6019,1,31-40
Endowment,1376,1,31-40
Female Disease,1212,1,31-40
Inc. Dec. Term Life,27,1,31-40
Injury,132,1,31-40
J.M.I.P,47,1,31-40
Joint life,249,1,31-40
Joint life(Flexible),669,1,31-40
Juvenile,7973,1,31-40
Medical,140116,1,31-40
M.I.P,27279,1,31-40
Nursing care,121,1,31-40
Term life,21829,1,31-40
VL Endowment,182,1,31-40
VL Whole life,2952,1,31-40
Whole life,46260,1,31-40
Annuity(Annuity Certain ),1608,2,31-40
Annuity(Whole Life Annuity With Guaranteed Installment ),36,2,31-40
Cancer,21314,2,31-40
Dread Disease T.L.,476,2,31-40
Dread Disease W.L.,3258,2,31-40
Endowment,1044,2,31-40
Female Disease,12962,2,31-40
Inc. Dec. Term Life,9,2,31-40
Injury,9,2,31-40
J.M.I.P,18,2,31-40
Joint life,20,2,31-40
Joint life(Flexible),176,2,31-40
Juvenile,3906,2,31-40
Maternity Insurance(or New Pregnant Woman Insurance),3,2,31-40
Medical,134988,2,31-40
Medical（Coins） ,1,2,31-40
M.I.P,4217,2,31-40
Nursing care,23,2,31-40
