perfecture_name,sum
Aichi,19077884707
Akita,3283522408
Aomori,3194658206
Chiba,11660734463
Ehime,4554706225
Fukui,3027881857
Fukuoka,13529539704
Fukushima,4934064637
Gifu,5984423986
Gunma,7152971190
Hiroshima,12765852478
Hokkaido,10787174836
Hyōgo,14412161669
Ibaraki,8444811159
Ishikawa,4083262564
Iwate,65134
Kagawa,4858004386
Kagoshima,4706279779
Kanagawa,21272068656
Kochi,2449775913
Kumamoto,6330528691
Kyoto,8764092224
Mie,3529664092
Miyagi,7048220540
Miyazaki,3409071636
Nagano,9861288695
Naoasaki,3404073878
Nara,6759596096
Niigata,7288696972
Oita,1538310778
Okayama,5999204148
Okinawa,1667292793
Osaka,32080662815
Saga,1196380722
Saitama,16246490415
Shiga,2695866639
Shimane,683911794
Shizuoka,10913871762
Tochigi,5435281468
Tokushima,2768372712
Tokyo,67005777163
Tottori,1249348036
Toyama,3438827104
Wakayama,3141822986
Yamagata,5389791874
Yamaguchi,4495579789
Yamanashi,2046217050
,452638
