Policy Type Name,a_group,Insured'S Gender,perfecture_name,address Count
Annuity(Annuity Certain ),18-22,1,Chiba,1
Annuity(Annuity Certain ),18-22,1,Fukuoka,2
Annuity(Annuity Certain ),18-22,1,Hiroshima,1
Annuity(Annuity Certain ),18-22,1,Toyama,1
Annuity(Annuity Certain ),18-22,2,Ibaraki,1
Annuity(Annuity Certain ),18-22,2,Toyama,1
Annuity(Annuity Certain ),23-30,1,Fukui,1
Annuity(Annuity Certain ),23-30,1,Fukuoka,1
Annuity(Annuity Certain ),23-30,1,Fukushima,1
Annuity(Annuity Certain ),23-30,1,Gifu,1
Annuity(Annuity Certain ),23-30,1,Gunma,1
Annuity(Annuity Certain ),23-30,1,Hiroshima,1
Annuity(Annuity Certain ),23-30,1,Ishikawa,1
Annuity(Annuity Certain ),23-30,1,Kagawa,2
Annuity(Annuity Certain ),23-30,1,Kanagawa,3
Annuity(Annuity Certain ),23-30,1,Kumamoto,1
Annuity(Annuity Certain ),23-30,1,Miyagi,1
Annuity(Annuity Certain ),23-30,1,Osaka,4
Annuity(Annuity Certain ),23-30,1,Saitama,1
Annuity(Annuity Certain ),23-30,1,Shizuoka,1
Annuity(Annuity Certain ),23-30,1,Tokyo,3
Annuity(Annuity Certain ),23-30,1,Toyama,4
Annuity(Annuity Certain ),23-30,2,Akita,1
Annuity(Annuity Certain ),23-30,2,Fukui,1
Annuity(Annuity Certain ),23-30,2,Fukushima,1
Annuity(Annuity Certain ),23-30,2,Gunma,1
Annuity(Annuity Certain ),23-30,2,Kanagawa,3
Annuity(Annuity Certain ),23-30,2,Nagano,1
Annuity(Annuity Certain ),23-30,2,Saitama,2
Annuity(Annuity Certain ),23-30,2,Shiga,1
Annuity(Annuity Certain ),23-30,2,Tokyo,2
Annuity(Annuity Certain ),23-30,2,Toyama,3
Annuity(Annuity Certain ),31-40,1,Aichi,1
Annuity(Annuity Certain ),31-40,1,Chiba,1
Annuity(Annuity Certain ),31-40,1,Hiroshima,2
Annuity(Annuity Certain ),31-40,1,Hokkaido,5
Annuity(Annuity Certain ),31-40,1,Ibaraki,2
Annuity(Annuity Certain ),31-40,1,Ishikawa,2
Annuity(Annuity Certain ),31-40,1,Kagawa,2
Annuity(Annuity Certain ),31-40,1,Kanagawa,1
Annuity(Annuity Certain ),31-40,1,Kochi,1
Annuity(Annuity Certain ),31-40,1,Kyoto,1
Annuity(Annuity Certain ),31-40,1,Nagano,1
Annuity(Annuity Certain ),31-40,1,Osaka,2
Annuity(Annuity Certain ),31-40,1,Saitama,1
Annuity(Annuity Certain ),31-40,1,Tokyo,1
Annuity(Annuity Certain ),31-40,1,Toyama,10
Annuity(Annuity Certain ),31-40,1,Yamagata,1
Annuity(Annuity Certain ),31-40,1,Yamaguchi,1
Annuity(Annuity Certain ),31-40,2,Fukuoka,1
Annuity(Annuity Certain ),31-40,2,Gifu,1
Annuity(Annuity Certain ),31-40,2,Gunma,1
Annuity(Annuity Certain ),31-40,2,Hiroshima,1
Annuity(Annuity Certain ),31-40,2,Hokkaido,1
Annuity(Annuity Certain ),31-40,2,Ibaraki,1
Annuity(Annuity Certain ),31-40,2,Kagawa,1
Annuity(Annuity Certain ),31-40,2,Kyoto,1
Annuity(Annuity Certain ),31-40,2,Nagano,2
Annuity(Annuity Certain ),31-40,2,Okayama,1
Annuity(Annuity Certain ),31-40,2,Saitama,2
Annuity(Annuity Certain ),31-40,2,Tokyo,2
Annuity(Annuity Certain ),31-40,2,Toyama,3
Annuity(Annuity Certain ),31-40,2,Wakayama,1
Annuity(Annuity Certain ),31-40,2,Yamagata,1
Annuity(Annuity Certain ),31-40,2,Yamaguchi,1
Annuity(Annuity Certain ),41-50,1,Aichi,4
Annuity(Annuity Certain ),41-50,1,Akita,2
Annuity(Annuity Certain ),41-50,1,Aomori,2
Annuity(Annuity Certain ),41-50,1,Chiba,3
Annuity(Annuity Certain ),41-50,1,Fukui,1
Annuity(Annuity Certain ),41-50,1,Fukuoka,2
Annuity(Annuity Certain ),41-50,1,Gifu,2
Annuity(Annuity Certain ),41-50,1,Gunma,1
Annuity(Annuity Certain ),41-50,1,Hokkaido,5
Annuity(Annuity Certain ),41-50,1,Hyōgo,1
Annuity(Annuity Certain ),41-50,1,Ibaraki,5
Annuity(Annuity Certain ),41-50,1,Ishikawa,2
Annuity(Annuity Certain ),41-50,1,Kanagawa,4
Annuity(Annuity Certain ),41-50,1,Kumamoto,1
Annuity(Annuity Certain ),41-50,1,Mie,2
Annuity(Annuity Certain ),41-50,1,Miyagi,2
Annuity(Annuity Certain ),41-50,1,Naoasaki,1
Annuity(Annuity Certain ),41-50,1,Nara,1
Annuity(Annuity Certain ),41-50,1,Niigata,3
Annuity(Annuity Certain ),41-50,1,Oita,1
Annuity(Annuity Certain ),41-50,1,Okayama,2
Annuity(Annuity Certain ),41-50,1,Okinawa,1
Annuity(Annuity Certain ),41-50,1,Osaka,4
Annuity(Annuity Certain ),41-50,1,Saga,2
Annuity(Annuity Certain ),41-50,1,Saitama,2
Annuity(Annuity Certain ),41-50,1,Shiga,1
Annuity(Annuity Certain ),41-50,1,Shizuoka,5
Annuity(Annuity Certain ),41-50,1,Tokushima,1
Annuity(Annuity Certain ),41-50,1,Tokyo,3
Annuity(Annuity Certain ),41-50,1,Toyama,5
Annuity(Annuity Certain ),41-50,1,Wakayama,1
Annuity(Annuity Certain ),41-50,1,Yamagata,2
Annuity(Annuity Certain ),41-50,1,Yamanashi,1
Annuity(Annuity Certain ),41-50,2,Aichi,1
Annuity(Annuity Certain ),41-50,2,Akita,1
Annuity(Annuity Certain ),41-50,2,Chiba,1
Annuity(Annuity Certain ),41-50,2,Ehime,1
Annuity(Annuity Certain ),41-50,2,Fukui,1
Annuity(Annuity Certain ),41-50,2,Fukuoka,2
Annuity(Annuity Certain ),41-50,2,Hokkaido,1
Annuity(Annuity Certain ),41-50,2,Ibaraki,3
Annuity(Annuity Certain ),41-50,2,Ishikawa,2
Annuity(Annuity Certain ),41-50,2,Kanagawa,1
Annuity(Annuity Certain ),41-50,2,Kochi,2
Annuity(Annuity Certain ),41-50,2,Mie,2
Annuity(Annuity Certain ),41-50,2,Nagano,4
Annuity(Annuity Certain ),41-50,2,Niigata,2
Annuity(Annuity Certain ),41-50,2,Okayama,1
Annuity(Annuity Certain ),41-50,2,Tochigi,1
Annuity(Annuity Certain ),41-50,2,Tokushima,1
Annuity(Annuity Certain ),41-50,2,Tokyo,4
Annuity(Annuity Certain ),41-50,2,Toyama,6
Annuity(Annuity Certain ),41-50,2,Yamagata,1
Annuity(Annuity Certain ),41-50,2,Yamaguchi,2
Annuity(Annuity Certain ),51-60,1,Aichi,5
Annuity(Annuity Certain ),51-60,1,Akita,1
Annuity(Annuity Certain ),51-60,1,Aomori,2
Annuity(Annuity Certain ),51-60,1,Chiba,1
Annuity(Annuity Certain ),51-60,1,Ehime,1
Annuity(Annuity Certain ),51-60,1,Fukui,1
Annuity(Annuity Certain ),51-60,1,Fukuoka,1
Annuity(Annuity Certain ),51-60,1,Fukushima,2
Annuity(Annuity Certain ),51-60,1,Hiroshima,1
Annuity(Annuity Certain ),51-60,1,Hokkaido,4
Annuity(Annuity Certain ),51-60,1,Hyōgo,1
Annuity(Annuity Certain ),51-60,1,Ibaraki,1
Annuity(Annuity Certain ),51-60,1,Ishikawa,1
Annuity(Annuity Certain ),51-60,1,Kagawa,1
Annuity(Annuity Certain ),51-60,1,Kanagawa,2
Annuity(Annuity Certain ),51-60,1,Kyoto,2
Annuity(Annuity Certain ),51-60,1,Mie,4
Annuity(Annuity Certain ),51-60,1,Miyagi,1
Annuity(Annuity Certain ),51-60,1,Nara,1
Annuity(Annuity Certain ),51-60,1,Oita,1
Annuity(Annuity Certain ),51-60,1,Osaka,4
Annuity(Annuity Certain ),51-60,1,Saitama,1
