Policy Type Name,a_group,Insured'S Gender,insurance_duration average
Annuity(Annuity Certain ),18-22,1,37.4000000000000000
Annuity(Annuity Certain ),18-22,2,66.5000000000000000
Annuity(Annuity Certain ),23-30,1,115.4814814814814815
Annuity(Annuity Certain ),23-30,2,109.5625000000000000
Annuity(Annuity Certain ),31-40,1,92.4000000000000000
Annuity(Annuity Certain ),31-40,2,88.5238095238095238
Annuity(Annuity Certain ),41-50,1,104.4400000000000000
Annuity(Annuity Certain ),41-50,2,97.8750000000000000
Annuity(Annuity Certain ),51-60,1,102.4915254237288136
Annuity(Annuity Certain ),51-60,2,105.6229508196721311
Annuity(Annuity Certain ),61-64,1,91.6666666666666667
Annuity(Annuity Certain ),61-64,2,114.6000000000000000
Annuity(Annuity Certain ),greater than 64,1,118.3333333333333333
Annuity(Annuity Certain ),greater than 64,2,32.5000000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,127.5000000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,58.0000000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,145.3333333333333333
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,156.0000000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,173.0000000000000000
Cancer,18-22,1,82.1078431372549020
Cancer,18-22,2,100.0740740740740741
Cancer,23-30,1,100.3139784946236559
Cancer,23-30,2,103.1748251748251748
Cancer,31-40,1,123.1345397324940991
Cancer,31-40,2,130.1217616580310881
Cancer,41-50,1,122.1825633383010432
Cancer,41-50,2,127.5766871165644172
Cancer,51-60,1,123.7969948849104859
Cancer,51-60,2,130.3336734693877551
Cancer,61-64,1,117.7535667963683528
Cancer,61-64,2,116.8744939271255061
Cancer,greater than 64,1,110.8796296296296296
Cancer,greater than 64,2,106.2370820668693009
Dread Disease T.L.,18-22,1,23.0000000000000000
Dread Disease T.L.,18-22,2,41.0000000000000000
Dread Disease T.L.,23-30,1,49.1250000000000000
Dread Disease T.L.,23-30,2,90.8333333333333333
Dread Disease T.L.,31-40,1,73.6304347826086957
Dread Disease T.L.,31-40,2,69.5185185185185185
Dread Disease T.L.,41-50,1,82.4705882352941176
Dread Disease T.L.,41-50,2,54.9807692307692308
Dread Disease T.L.,51-60,1,54.0000000000000000
Dread Disease T.L.,51-60,2,70.6190476190476190
Dread Disease T.L.,61-64,1,42.0476190476190476
Dread Disease T.L.,61-64,2,35.5000000000000000
Dread Disease T.L.,greater than 64,1,45.8666666666666667
Dread Disease T.L.,greater than 64,2,48.4444444444444444
Dread Disease W.L.,18-22,1,86.7500000000000000
Dread Disease W.L.,18-22,2,90.3333333333333333
Dread Disease W.L.,23-30,1,89.5918367346938776
Dread Disease W.L.,23-30,2,98.9354838709677419
Dread Disease W.L.,31-40,1,90.0689655172413793
Dread Disease W.L.,31-40,2,97.7222222222222222
Dread Disease W.L.,41-50,1,94.1982758620689655
Dread Disease W.L.,41-50,2,76.1571428571428571
Dread Disease W.L.,51-60,1,82.1548387096774194
Dread Disease W.L.,51-60,2,85.5600000000000000
Dread Disease W.L.,61-64,1,73.5161290322580645
Dread Disease W.L.,61-64,2,95.9545454545454545
Dread Disease W.L.,greater than 64,1,82.0000000000000000
Dread Disease W.L.,greater than 64,2,97.5000000000000000
Endowment,18-22,1,111.4574585635359116
Endowment,18-22,2,108.3553113553113553
Endowment,23-30,1,111.3190789473684211
Endowment,23-30,2,111.6462799495586381
Endowment,31-40,1,110.4087130029930163
Endowment,31-40,2,110.6873333333333333
Endowment,41-50,1,109.0296111309311452
Endowment,41-50,2,111.6301703163017032
Endowment,51-60,1,102.3696612665684831
Endowment,51-60,2,108.6133651551312649
Endowment,61-64,1,96.3449781659388646
Endowment,61-64,2,108.5403225806451613
Endowment,greater than 64,1,88.3700000000000000
Endowment,greater than 64,2,112.4827586206896552
Female Disease,18-22,2,100.8666666666666667
Female Disease,23-30,2,126.8488372093023256
Female Disease,31-40,2,137.6904761904761905
Female Disease,41-50,2,128.8571428571428571
Female Disease,51-60,2,115.4102564102564103
Female Disease,61-64,2,129.8863636363636364
Female Disease,greater than 64,2,97.0000000000000000
Inc. Dec. Term Life,23-30,1,37.0000000000000000
Inc. Dec. Term Life,23-30,2,30.6666666666666667
Inc. Dec. Term Life,31-40,1,58.4444444444444444
Inc. Dec. Term Life,41-50,1,69.1875000000000000
Inc. Dec. Term Life,41-50,2,69.5454545454545455
Inc. Dec. Term Life,51-60,1,58.1906976744186047
Inc. Dec. Term Life,51-60,2,66.5238095238095238
Inc. Dec. Term Life,61-64,1,46.1186440677966102
Inc. Dec. Term Life,61-64,2,44.8750000000000000
Inc. Dec. Term Life,greater than 64,1,46.1714285714285714
Inc. Dec. Term Life,greater than 64,2,39.5000000000000000
Injury,18-22,1,92.0000000000000000
Injury,23-30,1,34.0000000000000000
Injury,23-30,2,17.0000000000000000
Injury,31-40,1,37.6428571428571429
Injury,31-40,2,90.0000000000000000
Injury,41-50,1,50.4500000000000000
Injury,41-50,2,49.3333333333333333
Injury,51-60,1,51.1617647058823529
Injury,51-60,2,46.6666666666666667
Injury,61-64,1,64.4210526315789474
Injury,61-64,2,100.6666666666666667
Injury,greater than 64,1,50.2727272727272727
Injury,greater than 64,2,67.0000000000000000
Joint life,18-22,2,298.0000000000000000
Joint life,23-30,1,256.8000000000000000
Joint life,31-40,1,206.9743589743589744
Joint life,31-40,2,295.0000000000000000
Joint life,41-50,1,195.2037037037037037
Joint life,41-50,2,170.3333333333333333
Joint life,51-60,1,186.4915254237288136
Joint life,51-60,2,187.2857142857142857
Joint life,61-64,1,240.5000000000000000
Joint life,61-64,2,233.0000000000000000
Joint life,greater than 64,1,162.7500000000000000
Joint life,greater than 64,2,102.5000000000000000
Joint life(Flexible),23-30,1,145.0000000000000000
Joint life(Flexible),31-40,1,102.5714285714285714
Joint life(Flexible),31-40,2,16.0000000000000000
Joint life(Flexible),41-50,1,170.0909090909090909
Joint life(Flexible),41-50,2,255.0000000000000000
Joint life(Flexible),51-60,1,137.7142857142857143
Joint life(Flexible),51-60,2,149.0000000000000000
Joint life(Flexible),61-64,1,64.2500000000000000
Joint life(Flexible),61-64,2,187.3333333333333333
Joint life(Flexible),greater than 64,1,191.0000000000000000
Medical,18-22,1,58.8270270270270270
Medical,18-22,2,76.6285714285714286
Medical,23-30,1,75.1543307086614173
Medical,23-30,2,88.8708133971291866
Medical,31-40,1,82.6318339100346021
Medical,31-40,2,91.7150715071507151
Medical,41-50,1,83.5815397350993377
Medical,41-50,2,89.7236533957845433
Medical,51-60,1,85.6109013685700802
Medical,51-60,2,82.0445894507884720
Medical,61-64,1,82.0989994734070563
Medical,61-64,2,85.2750000000000000
Medical,greater than 64,1,59.1530408773678963
Medical,greater than 64,2,55.0756859035004730
M.I.P,18-22,1,42.7500000000000000
M.I.P,23-30,1,57.8620689655172414
M.I.P,23-30,2,53.0000000000000000
M.I.P,31-40,1,57.5880597014925373
M.I.P,31-40,2,56.6521739130434783
M.I.P,41-50,1,56.7884057971014493
M.I.P,41-50,2,50.6190476190476190
M.I.P,51-60,1,53.8657407407407407
M.I.P,51-60,2,45.2727272727272727
M.I.P,61-64,1,39.7179487179487179
M.I.P,61-64,2,34.5000000000000000
M.I.P,greater than 64,1,43.6111111111111111
M.I.P,greater than 64,2,38.5000000000000000
Nursing care,31-40,1,267.5000000000000000
Nursing care,31-40,2,174.5000000000000000
Nursing care,41-50,1,156.0000000000000000
Nursing care,41-50,2,212.5000000000000000
Nursing care,51-60,1,210.7575757575757576
Nursing care,51-60,2,179.7894736842105263
Nursing care,61-64,1,227.2000000000000000
Nursing care,61-64,2,198.0000000000000000
Nursing care,greater than 64,1,218.0000000000000000
Nursing care,greater than 64,2,163.3333333333333333
Term life,18-22,1,79.1212121212121212
Term life,18-22,2,111.0000000000000000
Term life,23-30,1,106.3529411764705882
Term life,23-30,2,129.7666666666666667
Term life,31-40,1,138.5822368421052632
Term life,31-40,2,147.3259259259259259
Term life,41-50,1,118.1845174973488865
Term life,41-50,2,128.9031007751937984
Term life,51-60,1,101.9241779497098646
Term life,51-60,2,120.9726027397260274
Term life,61-64,1,84.7563025210084034
Term life,61-64,2,103.8250000000000000
Term life,greater than 64,1,73.2252922422954304
Term life,greater than 64,2,85.3306666666666667
VL Endowment,18-22,1,115.4358974358974359
VL Endowment,18-22,2,126.5609756097560976
VL Endowment,23-30,1,119.9548872180451128
VL Endowment,23-30,2,122.8260869565217391
VL Endowment,31-40,1,123.1674418604651163
VL Endowment,31-40,2,131.0000000000000000
VL Endowment,41-50,1,124.5950000000000000
VL Endowment,41-50,2,133.3488372093023256
VL Endowment,51-60,1,117.5263157894736842
VL Endowment,51-60,2,121.8455284552845528
VL Endowment,61-64,1,105.7142857142857143
