Policy Type Name,a_group,Insured'S Gender,count
Annuity(Annuity Certain ),18-22,1,1053
Annuity(Annuity Certain ),18-22,2,1060
Annuity(Annuity Certain ),23-30,1,4704
Annuity(Annuity Certain ),23-30,2,4251
Annuity(Annuity Certain ),31-40,1,5534
Annuity(Annuity Certain ),31-40,2,4987
Annuity(Annuity Certain ),41-50,1,3634
Annuity(Annuity Certain ),41-50,2,3954
Annuity(Annuity Certain ),51-60,1,1451
Annuity(Annuity Certain ),51-60,2,1763
Annuity(Annuity Certain ),61-64,1,79
Annuity(Annuity Certain ),61-64,2,122
Annuity(Annuity Certain ),greater than 64,1,18
Annuity(Annuity Certain ),greater than 64,2,40
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,39
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,26
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,111
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,84
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,106
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,87
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,85
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,67
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,27
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,48
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,3
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,3
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,4
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,4
Cancer,18-22,1,35761
Cancer,18-22,2,26383
Cancer,23-30,1,144214
Cancer,23-30,2,78463
Cancer,31-40,1,147415
Cancer,31-40,2,78536
Cancer,41-50,1,116114
Cancer,41-50,2,68256
Cancer,51-60,1,67982
Cancer,51-60,2,43739
Cancer,61-64,1,9597
Cancer,61-64,2,7636
Cancer,greater than 64,1,7378
Cancer,greater than 64,2,8092
Dread Disease T.L.,18-22,1,301
Dread Disease T.L.,18-22,2,297
Dread Disease T.L.,23-30,1,1782
Dread Disease T.L.,23-30,2,1326
Dread Disease T.L.,31-40,1,4285
Dread Disease T.L.,31-40,2,2501
Dread Disease T.L.,41-50,1,3325
Dread Disease T.L.,41-50,2,1948
Dread Disease T.L.,51-60,1,1480
Dread Disease T.L.,51-60,2,1054
Dread Disease T.L.,61-64,1,187
Dread Disease T.L.,61-64,2,162
Dread Disease T.L.,greater than 64,1,87
Dread Disease T.L.,greater than 64,2,80
Dread Disease W.L.,18-22,1,3043
Dread Disease W.L.,18-22,2,2269
Dread Disease W.L.,23-30,1,11358
Dread Disease W.L.,23-30,2,7654
Dread Disease W.L.,31-40,1,12758
Dread Disease W.L.,31-40,2,7908
Dread Disease W.L.,41-50,1,6314
Dread Disease W.L.,41-50,2,4422
Dread Disease W.L.,51-60,1,3221
Dread Disease W.L.,51-60,2,2754
Dread Disease W.L.,61-64,1,388
Dread Disease W.L.,61-64,2,409
Dread Disease W.L.,greater than 64,1,144
Dread Disease W.L.,greater than 64,2,169
Endowment,18-22,1,8008
Endowment,18-22,2,7403
Endowment,23-30,1,23602
Endowment,23-30,2,15616
Endowment,31-40,1,25747
Endowment,31-40,2,12438
Endowment,41-50,1,20370
Endowment,41-50,2,11941
Endowment,51-60,1,11219
Endowment,51-60,2,6282
Endowment,61-64,1,1384
Endowment,61-64,2,730
Endowment,greater than 64,1,535
Endowment,greater than 64,2,351
Female Disease,18-22,2,6994
Female Disease,23-30,2,26651
Female Disease,31-40,2,17602
Female Disease,41-50,2,9041
Female Disease,51-60,2,3890
Female Disease,61-64,2,672
Female Disease,greater than 64,2,142
Inc. Dec. Term Life,18-22,1,407
Inc. Dec. Term Life,18-22,2,182
Inc. Dec. Term Life,23-30,1,3349
Inc. Dec. Term Life,23-30,2,1033
Inc. Dec. Term Life,31-40,1,8600
Inc. Dec. Term Life,31-40,2,1789
Inc. Dec. Term Life,41-50,1,12328
Inc. Dec. Term Life,41-50,2,2700
Inc. Dec. Term Life,51-60,1,18171
Inc. Dec. Term Life,51-60,2,3564
Inc. Dec. Term Life,61-64,1,4167
Inc. Dec. Term Life,61-64,2,788
Inc. Dec. Term Life,greater than 64,1,2466
Inc. Dec. Term Life,greater than 64,2,527
Injury,18-22,1,3389
Injury,18-22,2,2171
Injury,23-30,1,13018
Injury,23-30,2,6277
Injury,31-40,1,17210
Injury,31-40,2,5709
Injury,41-50,1,12682
Injury,41-50,2,5451
Injury,51-60,1,12582
Injury,51-60,2,4515
Injury,61-64,1,2607
Injury,61-64,2,646
Injury,greater than 64,1,1568
Injury,greater than 64,2,379
J.M.I.P,18-22,1,33
J.M.I.P,18-22,2,26
J.M.I.P,23-30,1,100
J.M.I.P,23-30,2,57
J.M.I.P,31-40,1,123
