Policy Type Name,a_group,Insured'S Gender,count
Annuity(Annuity Certain ),18-22,1,518
Annuity(Annuity Certain ),18-22,2,460
Annuity(Annuity Certain ),23-30,1,2065
Annuity(Annuity Certain ),23-30,2,1610
Annuity(Annuity Certain ),31-40,1,2173
Annuity(Annuity Certain ),31-40,2,1666
Annuity(Annuity Certain ),41-50,1,1577
Annuity(Annuity Certain ),41-50,2,1477
Annuity(Annuity Certain ),51-60,1,694
Annuity(Annuity Certain ),51-60,2,811
Annuity(Annuity Certain ),61-64,1,48
Annuity(Annuity Certain ),61-64,2,65
Annuity(Annuity Certain ),greater than 64,1,14
Annuity(Annuity Certain ),greater than 64,2,33
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,19
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,12
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,65
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,47
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,50
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,32
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,37
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,28
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,15
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,22
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,1
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,3
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,1
Cancer,18-22,1,27490
Cancer,18-22,2,20929
Cancer,23-30,1,107931
Cancer,23-30,2,57245
Cancer,31-40,1,102466
Cancer,31-40,2,49520
Cancer,41-50,1,86422
Cancer,41-50,2,47011
Cancer,51-60,1,52478
Cancer,51-60,2,30245
Cancer,61-64,1,6639
Cancer,61-64,2,4152
Cancer,greater than 64,1,4429
Cancer,greater than 64,2,3799
Dread Disease T.L.,18-22,1,121
Dread Disease T.L.,18-22,2,107
Dread Disease T.L.,23-30,1,864
Dread Disease T.L.,23-30,2,487
Dread Disease T.L.,31-40,1,1756
Dread Disease T.L.,31-40,2,791
