Policy Type Name,a_group,Insured'S Gender,Termination  Reason,merge_reason_code,Type,Details,Termination Reason  Count
Annuity(Annuity Certain ),18-22,1,G31,G31,Death,Crude death,5
Annuity(Annuity Certain ),18-22,2,G31,G31,Death,Crude death,2
Annuity(Annuity Certain ),23-30,1,G31,G31,Death,Crude death,27
Annuity(Annuity Certain ),23-30,2,G31,G31,Death,Crude death,16
Annuity(Annuity Certain ),31-40,1,G31,G31,Death,Crude death,35
Annuity(Annuity Certain ),31-40,2,G31,G31,Death,Crude death,20
Annuity(Annuity Certain ),31-40,2,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),1
Annuity(Annuity Certain ),41-50,1,G31,G31,Death,Crude death,52
Annuity(Annuity Certain ),41-50,1,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),16
Annuity(Annuity Certain ),41-50,1,GA2,GA2,Payout,Pension Lump Payout by offset loans,7
Annuity(Annuity Certain ),41-50,2,G31,G31,Death,Crude death,29
Annuity(Annuity Certain ),41-50,2,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),9
Annuity(Annuity Certain ),41-50,2,GA2,GA2,Payout,Pension Lump Payout by offset loans,2
Annuity(Annuity Certain ),51-60,1,G31,G31,Death,Crude death,42
Annuity(Annuity Certain ),51-60,1,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),14
Annuity(Annuity Certain ),51-60,1,GA2,GA2,Payout,Pension Lump Payout by offset loans,3
Annuity(Annuity Certain ),51-60,2,G31,G31,Death,Crude death,36
Annuity(Annuity Certain ),51-60,2,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),24
Annuity(Annuity Certain ),51-60,2,GA2,GA2,Payout,Pension Lump Payout by offset loans,1
Annuity(Annuity Certain ),61-64,1,G31,G31,Death,Crude death,3
Annuity(Annuity Certain ),61-64,1,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),6
Annuity(Annuity Certain ),61-64,2,G31,G31,Death,Crude death,5
Annuity(Annuity Certain ),61-64,2,GA1,GA1,Payout,Pension Lump Payout （Annuity Certain),5
Annuity(Annuity Certain ),greater than 64,1,G31,G31,Death,Crude death,1
