Policy Type Name,a_group,Policyholder'S_Gender,count,percentage
Whole life,18-22,1,25307,5.45488249381
Whole life,23-30,1,117108,25.2424380245
Whole life,31-40,1,155652,33.5505342366
Whole life,41-50,1,92484,19.9347750645
Whole life,51-60,1,46355,9.99174449759
Whole life,61-64,1,11215,2.41737492267
Whole life,greater than 64,1,15812,3.40825076035
Whole life,18-22,2,17385,5.32038609141
Whole life,23-30,2,65372,20.0059982495
Whole life,31-40,2,87923,26.907351528
Whole life,41-50,2,70035,21.4330307686
Whole life,51-60,2,47077,14.4071220032
Whole life,61-64,2,14374,4.39892031509
Whole life,greater than 64,2,24596,7.52719104425
