Policy Type Name,a_group,Policyholder'S_Gender,count
Annuity(Annuity Certain ),18-22,1,912
Annuity(Annuity Certain ),18-22,2,947
Annuity(Annuity Certain ),23-30,1,4581
Annuity(Annuity Certain ),23-30,2,4050
Annuity(Annuity Certain ),31-40,1,5540
Annuity(Annuity Certain ),31-40,2,4795
Annuity(Annuity Certain ),41-50,1,3785
Annuity(Annuity Certain ),41-50,2,3903
Annuity(Annuity Certain ),51-60,1,1704
Annuity(Annuity Certain ),51-60,2,1907
Annuity(Annuity Certain ),61-64,1,139
Annuity(Annuity Certain ),61-64,2,148
Annuity(Annuity Certain ),greater than 64,1,103
Annuity(Annuity Certain ),greater than 64,2,135
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,32
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,23
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,112
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,79
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,106
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,87
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,89
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,66
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,30
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,46
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,6
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,4
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,6
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,7
Cancer,18-22,0,4
Cancer,18-22,1,20179
Cancer,18-22,2,12306
Cancer,23-30,1,104526
Cancer,23-30,2,49675
Cancer,31-40,0,1
Cancer,31-40,1,121285
Cancer,31-40,2,57634
Cancer,31-40,3,1
Cancer,41-50,0,6
Cancer,41-50,1,105785
Cancer,41-50,2,51851
Cancer,41-50,3,2
Cancer,51-60,0,2
Cancer,51-60,1,63591
Cancer,51-60,2,35243
Cancer,61-64,1,8550
Cancer,61-64,2,7037
Cancer,greater than 64,1,7641
Cancer,greater than 64,2,8004
Dread Disease T.L.,18-22,1,223
Dread Disease T.L.,18-22,2,206
Dread Disease T.L.,23-30,1,1698
Dread Disease T.L.,23-30,2,1163
Dread Disease T.L.,31-40,1,4083
Dread Disease T.L.,31-40,2,2280
Dread Disease T.L.,41-50,1,3032
Dread Disease T.L.,41-50,2,1817
Dread Disease T.L.,41-50,3,1
Dread Disease T.L.,51-60,1,1296
Dread Disease T.L.,51-60,2,1023
Dread Disease T.L.,61-64,1,165
Dread Disease T.L.,61-64,2,156
Dread Disease T.L.,greater than 64,1,92
Dread Disease T.L.,greater than 64,2,96
Dread Disease W.L.,18-22,1,2475
Dread Disease W.L.,18-22,2,1829
Dread Disease W.L.,23-30,1,11234
Dread Disease W.L.,23-30,2,6998
Dread Disease W.L.,31-40,1,13005
Dread Disease W.L.,31-40,2,7350
Dread Disease W.L.,41-50,1,6858
Dread Disease W.L.,41-50,2,4616
Dread Disease W.L.,51-60,1,3671
Dread Disease W.L.,51-60,2,2972
Dread Disease W.L.,61-64,1,443
Dread Disease W.L.,61-64,2,424
Dread Disease W.L.,greater than 64,1,214
Dread Disease W.L.,greater than 64,2,249
Endowment,18-22,1,561
Endowment,18-22,2,665
Endowment,23-30,1,1696
Endowment,23-30,2,1692
Endowment,31-40,1,2757
Endowment,31-40,2,2166
Endowment,31-40,3,1
Endowment,41-50,1,3534
Endowment,41-50,2,1992
Endowment,41-50,3,7
Endowment,51-60,1,2503
Endowment,51-60,2,1433
Endowment,61-64,1,647
Endowment,61-64,2,410
Endowment,greater than 64,1,693
Endowment,greater than 64,2,590
Female Disease,18-22,1,62
Female Disease,18-22,2,5681
Female Disease,23-30,1,1645
Female Disease,23-30,2,23831
Female Disease,31-40,1,2501
Female Disease,31-40,2,15415
Female Disease,41-50,1,2575
Female Disease,41-50,2,8248
Female Disease,51-60,1,1350
Female Disease,51-60,2,3610
Female Disease,61-64,1,106
Female Disease,61-64,2,627
Female Disease,greater than 64,1,69
Female Disease,greater than 64,2,171
Inc. Dec. Term Life,18-22,1,4
Inc. Dec. Term Life,18-22,2,1
Inc. Dec. Term Life,23-30,1,28
Inc. Dec. Term Life,23-30,2,10
Inc. Dec. Term Life,31-40,1,70
Inc. Dec. Term Life,31-40,2,15
Inc. Dec. Term Life,41-50,1,119
Inc. Dec. Term Life,41-50,2,27
Inc. Dec. Term Life,41-50,3,4
Inc. Dec. Term Life,51-60,1,189
Inc. Dec. Term Life,51-60,2,36
Inc. Dec. Term Life,61-64,1,76
Inc. Dec. Term Life,61-64,2,17
Inc. Dec. Term Life,greater than 64,1,92
Inc. Dec. Term Life,greater than 64,2,40
Injury,23-30,1,11
Injury,23-30,2,1
Injury,31-40,1,192
Injury,31-40,2,14
Injury,41-50,1,263
Injury,41-50,2,32
Injury,51-60,1,454
Injury,51-60,2,11
Injury,61-64,1,102
Injury,61-64,2,4
Injury,greater than 64,1,74
Injury,greater than 64,2,12
J.M.I.P,18-22,1,5
J.M.I.P,18-22,2,3
J.M.I.P,23-30,1,52
J.M.I.P,23-30,2,18
J.M.I.P,31-40,1,113
J.M.I.P,31-40,2,47
J.M.I.P,41-50,1,137
J.M.I.P,41-50,2,88
J.M.I.P,51-60,1,65
J.M.I.P,51-60,2,66
J.M.I.P,61-64,1,12
J.M.I.P,61-64,2,13
J.M.I.P,greater than 64,1,12
J.M.I.P,greater than 64,2,8
Joint life,18-22,1,16
Joint life,18-22,2,7
Joint life,23-30,1,414
Joint life,23-30,2,33
Joint life,31-40,1,584
Joint life,31-40,2,65
Joint life,41-50,1,323
Joint life,41-50,2,64
Joint life,51-60,1,153
Joint life,51-60,2,16
Joint life,61-64,1,13
Joint life,61-64,2,5
Joint life,greater than 64,1,8
Joint life,greater than 64,2,4
Joint life(Flexible),18-22,1,161
Joint life(Flexible),18-22,2,109
Joint life(Flexible),23-30,1,1067
Joint life(Flexible),23-30,2,323
